date,code,action,buy_price,sell_price,ret,buy_date,amount_est
2017-11-20,233740,BUY,19653.0,0.0,0.0,,330
2017-11-22,233740,SELL,19653.0,20442.5,3.71,2017-11-20,0
2017-11-23,233740,BUY,19554.0,0.0,0.0,,340
2017-11-28,233740,SELL,19554.0,19566.0,-0.24,2017-11-23,0
2017-12-11,122630,BUY,17395.0,0.0,0.0,,293
2017-12-12,251340,BUY,7090.0,0.0,0.0,,505
2017-12-13,251340,SELL,7090.0,7018.25,-1.31,2017-12-12,0
2017-12-14,251340,BUY,7020.0,0.0,0.0,,361
2017-12-15,122630,SELL,17395.0,17710.0,1.51,2017-12-11,0
2017-12-22,251340,SELL,7020.0,7265.25,3.19,2017-12-14,0
2017-12-27,122630,BUY,16960.0,0.0,0.0,,304
2017-12-28,122630,SELL,16960.0,17225.0,1.26,2017-12-27,0
2018-01-03,233740,BUY,20895.5,0.0,0.0,,323
2018-01-04,233740,SELL,20895.5,20982.0,0.11,2018-01-03,0
2018-01-05,233740,BUY,20514.5,0.0,0.0,,329
2018-01-09,233740,SELL,20514.5,22222.75,8.01,2018-01-05,0
2018-01-11,233740,BUY,22591.5,0.0,0.0,,315
2018-01-17,233740,SELL,22591.5,27972.0,23.48,2018-01-11,0
2018-01-23,233740,BUY,25927.5,0.0,0.0,,316
2018-01-24,233740,SELL,25927.5,26612.5,2.34,2018-01-23,0
2018-01-26,233740,BUY,26456.5,0.0,0.0,,314
2018-01-30,233740,SELL,26456.5,27852.5,4.97,2018-01-26,0
2018-02-07,252670,BUY,5870.0,0.0,0.0,,1126
2018-02-07,251340,BUY,5911.0,0.0,0.0,,782
2018-02-08,251340,SELL,5911.0,5961.75,0.56,2018-02-07,0
2018-02-12,251340,BUY,5972.0,0.0,0.0,,1108
2018-02-14,251340,SELL,5972.0,6059.25,1.16,2018-02-12,0
2018-02-19,122630,BUY,16905.0,0.0,0.0,,396
2018-02-27,122630,SELL,16905.0,16970.0,0.08,2018-02-19,0
2018-02-28,233740,BUY,23328.0,0.0,0.0,,287
2018-03-05,233740,SELL,23328.0,22574.75,-3.52,2018-02-28,0
2018-03-06,233740,BUY,22966.5,0.0,0.0,,281
2018-03-07,233740,SELL,22966.5,22735.25,-1.31,2018-03-06,0
2018-03-09,252670,SELL,5870.0,6085.0,3.36,2018-02-07,0
2018-03-12,233740,BUY,23950.5,0.0,0.0,,179
2018-03-19,233740,SELL,23950.5,24354.5,1.38,2018-03-12,0
2018-03-20,233740,BUY,23732.0,0.0,0.0,,364
2018-03-22,233740,SELL,23732.0,24343.75,2.27,2018-03-20,0
2018-03-28,251340,BUY,6005.0,0.0,0.0,,1123
2018-03-29,251340,SELL,6005.0,5881.5,-2.35,2018-03-28,0
2018-04-04,251340,BUY,5810.0,0.0,0.0,,803
2018-04-06,251340,SELL,5810.0,5808.5,-0.33,2018-04-04,0
2018-04-06,233740,BUY,22638.0,0.0,0.0,,381
2018-04-12,233740,SELL,22638.0,23296.25,2.6,2018-04-06,0
2018-04-13,233740,BUY,23080.0,0.0,0.0,,293
2018-04-13,251340,BUY,5815.0,0.0,0.0,,1162
2018-04-17,233740,SELL,23080.0,23250.0,0.44,2018-04-13,0
2018-04-27,251340,SELL,5815.0,5883.75,0.88,2018-04-13,0
2018-04-30,251340,BUY,5911.0,0.0,0.0,,1498
2018-05-09,251340,SELL,5911.0,6363.75,7.35,2018-04-30,0
2018-05-14,251340,BUY,6260.0,0.0,0.0,,1482
2018-05-16,233740,BUY,18942.0,0.0,0.0,,184
2018-05-17,251340,SELL,6260.0,6228.0,-0.81,2018-05-14,0
2018-05-29,233740,SELL,18942.0,20493.75,7.88,2018-05-16,0
2018-06-01,122630,BUY,15905.0,0.0,0.0,,455
2018-06-05,122630,SELL,15905.0,16340.0,2.43,2018-06-01,0
2018-06-07,233740,BUY,20494.0,0.0,0.0,,357
2018-06-08,233740,SELL,20494.0,20396.25,-0.78,2018-06-07,0
2018-06-12,233740,BUY,20255.0,0.0,0.0,,360
2018-06-14,233740,SELL,20255.0,19827.5,-2.41,2018-06-12,0
2018-06-19,252670,BUY,6450.0,0.0,0.0,,1118
2018-06-21,122630,BUY,15210.0,0.0,0.0,,472
2018-06-25,122630,SELL,15210.0,15150.0,-0.69,2018-06-21,0
2018-06-25,233740,BUY,18603.0,0.0,0.0,,269
2018-06-27,233740,SELL,18603.0,18187.5,-2.53,2018-06-25,0
2018-06-28,122630,BUY,14930.0,0.0,0.0,,469
2018-06-29,122630,SELL,14930.0,14805.0,-1.14,2018-06-28,0
2018-06-29,251340,BUY,6457.0,0.0,0.0,,1074
2018-07-06,251340,SELL,6457.0,6444.0,-0.5,2018-06-29,0
2018-07-09,122630,BUY,14255.0,0.0,0.0,,484
2018-07-12,122630,SELL,14255.0,14400.0,0.72,2018-07-09,0
2018-07-12,233740,BUY,17350.0,0.0,0.0,,14
2018-07-16,252670,SELL,6450.0,6680.0,3.26,2018-06-19,0
2018-07-16,233740,SELL,17350.0,17987.5,3.37,2018-07-12,0
2018-07-18,251340,BUY,6414.0,0.0,0.0,,1124
2018-07-26,251340,SELL,6414.0,7013.5,9.03,2018-07-18,0
2018-07-30,251340,BUY,7006.0,0.0,0.0,,1398
2018-07-31,251340,SELL,7006.0,7007.5,-0.28,2018-07-30,0
2018-08-02,251340,BUY,6848.0,0.0,0.0,,1142
2018-08-07,233740,BUY,15138.0,0.0,0.0,,333
2018-08-08,233740,SELL,15138.0,15055.0,-0.85,2018-08-07,0
2018-08-09,251340,SELL,6848.0,6822.75,-0.67,2018-08-02,0
2018-08-09,233740,BUY,15125.0,0.0,0.0,,332
2018-08-13,233740,SELL,15125.0,14825.0,-2.28,2018-08-09,0
2018-08-14,252670,BUY,7065.0,0.0,0.0,,1050
2018-08-16,122630,BUY,13635.0,0.0,0.0,,542
2018-08-17,122630,SELL,13635.0,13725.0,0.36,2018-08-16,0
2018-08-20,122630,BUY,13820.0,0.0,0.0,,537
2018-08-22,122630,SELL,13820.0,14090.0,1.65,2018-08-20,0
2018-08-24,252670,SELL,7065.0,6925.0,-2.28,2018-08-14,0
2018-08-31,233740,BUY,16414.0,0.0,0.0,,451
2018-09-05,233740,SELL,16414.0,17416.25,5.8,2018-08-31,0
2018-09-07,233740,BUY,16990.5,0.0,0.0,,448
2018-09-17,233740,SELL,16990.5,18197.5,6.79,2018-09-07,0
2018-09-18,233740,BUY,18110.0,0.0,0.0,,565
2018-09-20,233740,SELL,18110.0,18263.5,0.55,2018-09-18,0
2018-09-27,233740,BUY,18155.0,0.0,0.0,,566
2018-09-28,233740,SELL,18155.0,18380.25,0.94,2018-09-27,0
2018-10-10,122630,BUY,13870.0,0.0,0.0,,573
2018-10-11,122630,SELL,13870.0,13000.0,-6.56,2018-10-10,0
2018-10-11,252670,BUY,7450.0,0.0,0.0,,1033
2018-10-15,251340,BUY,6909.0,0.0,0.0,,1111
2018-10-19,251340,SELL,6909.0,6937.5,0.11,2018-10-15,0
2018-10-22,233740,BUY,14707.0,0.0,0.0,,366
2018-10-23,233740,SELL,14707.0,14357.5,-2.67,2018-10-22,0
2018-10-23,122630,BUY,12595.0,0.0,0.0,,182
2018-10-24,122630,SELL,12595.0,12355.0,-2.2,2018-10-23,0
2018-10-24,251340,BUY,6954.0,0.0,0.0,,1077
2018-10-25,251340,SELL,6954.0,7219.5,3.51,2018-10-24,0
2018-10-26,251340,BUY,7248.0,0.0,0.0,,1069
2018-10-30,251340,SELL,7248.0,7541.25,3.74,2018-10-26,0
2018-10-31,252670,SELL,7450.0,8445.0,13.04,2018-10-11,0
2018-10-31,251340,BUY,7614.0,0.0,0.0,,1431
2018-11-01,122630,BUY,11410.0,0.0,0.0,,512
2018-11-02,251340,SELL,7614.0,7463.5,-2.27,2018-10-31,0
2018-11-06,251340,BUY,7213.0,0.0,0.0,,1476
2018-11-07,122630,SELL,11410.0,12015.0,4.99,2018-11-01,0
2018-11-13,251340,SELL,7213.0,7733.75,6.91,2018-11-06,0
2018-11-14,233740,BUY,11468.0,0.0,0.0,,535
