hour_utc,n,net,avg,wr
0,8,-300.62331079343664,-37.57791384917958,37.5
1,5,-252.5563846417843,-50.51127692835686,0.0
2,4,-44.66800337399215,-11.167000843498037,50.0
3,2,48.00383444134094,24.00191722067047,100.0
4,1,27.152892329020496,27.152892329020496,100.0
6,2,-99.24941903824501,-49.624709519122504,0.0
7,1,21.088087891026703,21.088087891026703,100.0
8,1,-43.92745622229738,-43.92745622229738,0.0
9,1,-51.57989581337214,-51.57989581337214,0.0
11,2,88.06917734015005,44.034588670075024,100.0
12,4,-231.8830312424654,-57.97075781061635,0.0
13,1,-31.79338736463565,-31.79338736463565,0.0
14,6,-0.8961309275372997,-0.14935515458954995,66.66666666666666
15,9,-289.29415659882056,-32.14379517764673,22.22222222222222
16,1,-61.87409820916374,-61.87409820916374,0.0
17,4,-113.2948324282831,-28.323708107070775,25.0
19,1,-40.28350559194191,-40.28350559194191,0.0
20,1,-43.6620905302366,-43.6620905302366,0.0
21,4,-210.91763136553638,-52.729407841384095,25.0
22,2,-17.267954675122287,-8.633977337561143,50.0
23,2,-114.5007582788031,-57.25037913940155,0.0
