side,entry_time,exit_time,entry,exit,stop,target,bars_held,reason,gross_pnl,net_pnl,return_pct,entry_ts,hour_utc,weekday,reason_grp,month
SHORT,2025-07-10 21:34:00+00:00,2025-07-10 21:40:00+00:00,116077.7,116468.31021428572,116468.31021428572,115602.7025,7,stop,-33.65075413156249,-53.68440488569406,-0.5368440488569406,2025-07-10 21:34:00+00:00,21,Thursday,stop,2025-07
SHORT,2025-07-10 21:45:00+00:00,2025-07-10 21:49:00+00:00,116300.01,116606.4753214286,116606.4753214286,115768.625,5,stop,-26.351272147664318,-46.37762341981198,-0.4637762341981198,2025-07-10 21:45:00+00:00,21,Thursday,stop,2025-07
LONG,2025-08-14 12:59:00+00:00,2025-08-14 13:00:00+00:00,118871.49,118661.94317857143,118661.94317857143,119369.0275,2,stop,-17.628013363724072,-37.610385350360346,-0.3761038535036035,2025-08-14 12:59:00+00:00,12,Thursday,stop,2025-08
SHORT,2025-08-22 14:18:00+00:00,2025-08-22 14:18:00+00:00,115404.56,114910.9975,115894.33735714278,114910.9975,1,target_25pct,42.76802407114589,22.810792095217035,0.22810792095217033,2025-08-22 14:18:00+00:00,14,Friday,target_25pct,2025-08
SHORT,2025-09-02 13:53:00+00:00,2025-09-02 13:55:00+00:00,111093.0,111223.88539285709,111223.88539285709,110599.7475,3,stop,-11.781605758876774,-31.79338736463565,-0.3179338736463565,2025-09-02 13:53:00+00:00,13,Tuesday,stop,2025-09
LONG,2025-10-10 21:23:00+00:00,2025-10-10 21:23:00+00:00,107193.0,108804.5725,105060.3427500001,108804.5725,1,target_25pct,150.343072775274,130.19272970249872,1.301927297024987,2025-10-10 21:23:00+00:00,21,Friday,target_25pct,2025-10
SHORT,2025-10-10 21:45:00+00:00,2025-10-10 21:46:00+00:00,110809.05,113256.01860714283,113256.01860714283,109974.015,2,stop,-220.8275052572718,-241.04833276252907,-2.410483327625291,2025-10-10 21:45:00+00:00,21,Friday,stop,2025-10
SHORT,2025-10-21 14:24:00+00:00,2025-10-21 14:28:00+00:00,110370.76,109901.495,110580.82203571437,109901.495,5,target_25pct,42.517148563623145,22.559665712186767,0.2255966571218677,2025-10-21 14:24:00+00:00,14,Tuesday,target_25pct,2025-10
SHORT,2025-10-21 15:04:00+00:00,2025-10-21 15:04:00+00:00,111833.5,112032.79064285716,112032.79064285716,111382.18,1,stop,-17.820299182012427,-37.83811948119444,-0.3783811948119444,2025-10-21 15:04:00+00:00,15,Tuesday,stop,2025-10
SHORT,2025-10-21 15:12:00+00:00,2025-10-21 15:23:00+00:00,112551.09,112839.16582142861,112839.16582142861,111978.3925,12,stop,-25.595116087158104,-45.620711203245264,-0.4562071120324526,2025-10-21 15:12:00+00:00,15,Tuesday,stop,2025-10
LONG,2025-10-30 04:34:00+00:00,2025-10-30 04:35:00+00:00,108200.0,108710.705,107889.97417857149,108710.705,2,target_25pct,47.20009242144194,27.152892329020496,0.27152892329020495,2025-10-30 04:34:00+00:00,4,Thursday,target_25pct,2025-10
SHORT,2025-11-04 22:21:00+00:00,2025-11-04 22:33:00+00:00,101182.12,101368.58771428572,101368.58771428572,100759.145,13,stop,-18.428919485549955,-38.447348405035505,-0.3844734840503551,2025-11-04 22:21:00+00:00,22,Tuesday,stop,2025-11
SHORT,2025-11-05 02:05:00+00:00,2025-11-05 02:07:00+00:00,101213.19,101511.3722857144,101511.3722857144,100791.19750000001,3,stop,-29.460812934993925,-49.49027374792892,-0.4949027374792892,2025-11-05 02:05:00+00:00,2,Wednesday,stop,2025-11
SHORT,2025-11-05 02:09:00+00:00,2025-11-05 02:37:00+00:00,101376.85,101604.20221428589,101604.20221428589,100867.15000000001,29,stop,-22.426442948847352,-42.4488693917962,-0.424488693917962,2025-11-05 02:09:00+00:00,2,Wednesday,stop,2025-11
SHORT,2025-11-21 12:49:00+00:00,2025-11-21 12:50:00+00:00,83094.27,83499.03525000007,83499.03525000007,82659.2075,2,stop,-48.71157180875041,-68.76028338055917,-0.6876028338055917,2025-11-21 12:49:00+00:00,12,Friday,stop,2025-11
SHORT,2025-11-21 12:56:00+00:00,2025-11-21 13:09:00+00:00,83342.4,83715.24560714296,83715.24560714296,82848.70999999999,14,stop,-44.73660551447622,-64.7813421199907,-0.6478134211999069,2025-11-21 12:56:00+00:00,12,Friday,stop,2025-11
SHORT,2025-11-21 17:11:00+00:00,2025-11-21 17:25:00+00:00,85227.11,85476.38435714287,85476.38435714287,84821.54500000001,15,stop,-29.248247082750165,-49.27749532983292,-0.49277495329832915,2025-11-21 17:11:00+00:00,17,Friday,stop,2025-11
SHORT,2025-11-26 17:51:00+00:00,2025-11-26 17:56:00+00:00,89687.97,89833.1885000003,89833.1885000003,89258.0675,6,stop,-16.19152490576983,-36.2077164306756,-0.362077164306756,2025-11-26 17:51:00+00:00,17,Wednesday,stop,2025-11
LONG,2025-12-01 00:26:00+00:00,2025-12-01 00:27:00+00:00,88607.61,88442.11689285738,88442.11689285738,89017.6275,2,stop,-18.67707605956479,-38.65839898350522,-0.3865839898350522,2025-12-01 00:26:00+00:00,0,Monday,stop,2025-12
SHORT,2025-12-17 15:02:00+00:00,2025-12-17 15:05:00+00:00,89529.98,89944.65889285725,89944.65889285725,89132.8475,4,stop,-46.31732218160326,-66.36363950378487,-0.6636363950378487,2025-12-17 15:02:00+00:00,15,Wednesday,stop,2025-12
SHORT,2025-12-17 15:09:00+00:00,2025-12-17 15:35:00+00:00,90014.03,89500.3475,90412.49157142872,89500.3475,27,target_25pct,57.066937231895444,37.12400416912734,0.3712400416912734,2025-12-17 15:09:00+00:00,15,Wednesday,target_25pct,2025-12
LONG,2025-12-17 16:02:00+00:00,2025-12-17 16:14:00+00:00,87429.6,87063.1299642855,87063.1299642855,87910.53,13,stop,-41.91601422338713,-61.87409820916374,-0.6187409820916374,2025-12-17 16:02:00+00:00,16,Wednesday,stop,2025-12
LONG,2025-12-18 17:29:00+00:00,2025-12-18 17:30:00+00:00,85971.19,85728.85978571419,85728.85978571419,86398.84,2,stop,-28.187374664211998,-48.15918728954779,-0.4815918728954779,2025-12-18 17:29:00+00:00,17,Thursday,stop,2025-12
LONG,2025-12-18 17:33:00+00:00,2025-12-18 17:34:00+00:00,85892.64,86239.56,85578.6076071427,86239.56,2,target_25pct,40.38995657835156,20.349566621773207,0.20349566621773205,2025-12-18 17:33:00+00:00,17,Thursday,target_25pct,2025-12
SHORT,2026-01-30 19:01:00+00:00,2026-01-30 19:01:00+00:00,83926.14,84096.20157142858,84096.20157142858,83559.35,1,stop,-20.263242349592318,-40.28350559194191,-0.4028350559194191,2026-01-30 19:01:00+00:00,19,Friday,stop,2026-01
