tf,label,stretch,retrace,stop_buf,impulse,trades,wins,losses,win_rate,net_pnl,final_equity,return_pct,profit_factor,max_drawdown_pct,avg_trade_pnl,avg_win,avg_loss
1h,strict_3.0,3.0,0.5,0.45,1.8,36,11,25,30.555555555555557,-1665.1866281587916,8334.813371841215,-16.651866281587846,0.37862909763802444,-17.214046579889654,-46.255184115521985,92.24297553888663,-107.19437436346179
1m,baseline,1.4,0.25,0.45,1.8,62,20,42,32.25806451612903,-1763.9580550941353,8236.041944905859,-17.639580550941414,0.27320920556279316,-18.814824474611548,-28.45093637248605,33.154628716200406,-57.78691974805104
1h,strict_2.5,2.5,0.5,0.45,1.8,101,36,65,35.64356435643564,-3022.3047670714836,6977.695232928526,-30.22304767071474,0.5592216685342883,-33.22998151082466,-29.923809574965183,106.51223793656256,-105.48838973519594
1h,combo_tight,2.5,0.5,0.25,2.5,101,32,69,31.683168316831683,-3057.3322142679117,6942.6677857320965,-30.57332214267904,0.5259823612181033,-33.580255982788955,-30.27061598285061,106.01549166643477,-93.47576735643224
15m,strict_3.0,3.0,0.5,0.45,1.8,128,43,85,33.59375,-3520.018829051389,6479.981170948619,-35.2001882905138,0.4305538633190878,-35.40034691956048,-27.500147101963975,61.894401896176916,-72.7232718892588
1h,baseline,1.4,0.25,0.45,1.8,253,141,112,55.73122529644269,-5952.33701878136,4047.662981218643,-59.523370187813576,0.43988198688004954,-59.660410785817234,-23.527023789649643,33.15316832138053,-94.88333707228584
5m,baseline,1.4,0.25,0.45,1.8,380,168,212,44.21052631578947,-7051.221629621591,2948.7783703784103,-70.5122162962159,0.3677635754375587,-70.6152097204379,-18.555846393741028,24.41430038939206,-52.60766082565782
15m,combo_tight,2.5,0.5,0.25,2.5,291,92,199,31.615120274914087,-7212.1495342564585,2787.850465743542,-72.12149534256457,0.4138828913729042,-72.15543670030907,-24.784019018063432,55.35667179512971,-61.83398663019293
15m,baseline,1.4,0.25,0.45,1.8,353,166,187,47.02549575070821,-7535.571621710497,2464.4283782895195,-75.35571621710481,0.38206032021935116,-75.5908512176379,-21.347228390114722,28.066868881103808,-65.21214896242635
1m,strict_3.0,3.0,0.5,0.45,1.8,438,156,282,35.61643835616438,-7554.310204802701,2445.6897951973147,-75.54310204802685,0.388911905137643,-75.61364614760694,-17.247283572608907,30.81893528192685,-43.837106768735076
15m,strict_2.5,2.5,0.5,0.45,1.8,290,97,193,33.44827586206897,-7568.527426504126,2431.4725734958847,-75.68527426504114,0.41775505767709753,-75.68731781170757,-26.098370436221124,55.98293283731101,-67.35166793639013
5m,strict_3.0,3.0,0.5,0.45,1.8,349,116,233,33.2378223495702,-7710.408483722976,2289.591516277023,-77.10408483722976,0.3451673614036797,-77.2505965973053,-22.092860984879586,35.03634567757734,-50.534869452025525
1h,wider_0.50,1.4,0.5,0.45,1.8,355,141,214,39.718309859154935,-8245.412040002393,1754.5879599976051,-82.45412040002394,0.6092507196507135,-82.69434199569513,-23.226512788739136,91.1782210263159,-98.60533273230344
1h,wider_1.00,1.4,1.0,0.45,1.8,327,84,243,25.688073394495415,-9578.27730259736,421.72269740263584,-95.78277302597364,0.6170882559564129,-98.87117631318543,-29.291367897851256,183.76242566615736,-102.93959283355794
1m,strict_2.5,2.5,0.5,0.45,1.8,719,235,484,32.68428372739917,-13688.187012054961,-3688.1870120549593,-136.8818701205496,0.3492474953656938,-136.85755041810737,-19.03781225598743,31.260471178009055,-43.45949946051051
1m,combo_tight,2.5,0.5,0.25,2.5,725,212,513,29.24137931034483,-14205.479430848369,-4205.479430848361,-142.0547943084836,0.3165271625987324,-142.01495654594507,-19.593764732204647,31.031999520146485,-40.515133195164566
5m,combo_tight,2.5,0.5,0.25,2.5,734,239,495,32.561307901907355,-14478.083280415663,-4478.083280415672,-144.78083280415672,0.3625575352623125,-144.59183194208745,-19.724909101383737,34.45475083604834,-45.88438127319438
5m,strict_2.5,2.5,0.5,0.45,1.8,726,251,475,34.57300275482093,-14934.236886943138,-4934.236886943141,-149.34236886943143,0.3647814019489324,-149.16087844874738,-20.570574224439582,34.16794013445969,-49.49555760145793
1m,wider_0.50,1.4,0.5,0.45,1.8,1327,416,911,31.348907309721174,-25580.732109237742,-15580.732109237726,-255.8073210923773,0.3388279584757241,-255.7045826012188,-19.277115379983226,31.512611653913076,-42.469789854298114
15m,wider_0.50,1.4,0.5,0.45,1.8,1103,395,708,35.811423390752495,-26446.79314484229,-16446.79314484228,-264.4679314484228,0.4136278870923928,-264.4679314484228,-23.97714700348349,47.22939981207798,-63.70396337657216
15m,wider_1.00,1.4,1.0,0.45,1.8,1280,350,930,27.34375,-27681.868888449877,-17681.86888844988,-276.8186888844988,0.5069314410157104,-276.8186888844988,-21.626460069101466,81.31474057387611,-60.36777213903925
5m,wider_0.50,1.4,0.5,0.45,1.8,2219,791,1428,35.646687697160885,-42193.29325776612,-32193.293257766152,-421.93293257766146,0.3665784835366542,-420.719296286521,-19.01455306794327,30.8703177158052,-46.64685894325493
5m,wider_1.00,1.4,1.0,0.45,1.8,3902,977,2925,25.03844182470528,-77604.75134572582,-67604.75134572564,-776.0475134572564,0.3626328219883635,-767.9641349741406,-19.888454983527886,45.19299904685808,-41.6267731331645
1m,wider_1.00,1.4,1.0,0.45,1.8,7876,1601,6275,20.32757745048248,-152154.61183791433,-142154.61183791404,-1521.5461183791404,0.24234385140416795,-1512.2657816732597,-19.318767374036863,30.398604152966293,-32.00362981463161
