label,stretch,retrace,stop_buf,impulse,trades,wins,losses,win_rate,net_pnl,final_equity,return_pct,profit_factor,max_drawdown_pct,avg_trade_pnl,avg_win,avg_loss
"baseline(1.4,0.25,0.45,1.8)",1.4,0.25,0.45,1.8,62,20,42,32.25806451612903,-1763.9580550941353,8236.041944905859,-17.639580550941414,0.27320920556279316,-18.814824474611548,-28.45093637248605,33.154628716200406,-57.78691974805104
tight_stop_0.25,1.4,0.25,0.25,1.8,65,19,46,29.230769230769234,-1781.3342788843245,8218.665721115674,-17.813342788843258,0.26492560413810695,-19.00956342960146,-27.40514275206653,33.789709812262174,-52.681277506897956
strict_stretch_3.0,3.0,0.5,0.45,1.8,438,156,282,35.61643835616438,-7554.310204802701,2445.6897951973147,-75.54310204802685,0.388911905137643,-75.61364614760694,-17.247283572608907,30.81893528192685,-43.837106768735076
strict_stretch_2.5,2.5,0.5,0.45,1.8,719,235,484,32.68428372739917,-13688.187012054961,-3688.1870120549593,-136.8818701205496,0.3492474953656938,-136.85755041810737,-19.03781225598743,31.260471178009055,-43.45949946051051
strict_stretch_2.0,2.0,0.5,0.45,1.8,1049,329,720,31.36320305052431,-20550.700957244975,-10550.700957244968,-205.50700957244965,0.33258472482081813,-205.43743883023993,-19.59075401071971,31.126973671259208,-42.76593790984619
"combo_A(2.0,0.50,0.25,2.5)",2.0,0.5,0.25,2.5,1076,304,772,28.25278810408922,-21240.659651414262,-11240.659651414264,-212.40659651414262,0.30844451210589424,-212.30011573416667,-19.74039001060805,31.163371148138104,-39.78539440472571
wider_target_0.50,1.4,0.5,0.45,1.8,1327,416,911,31.348907309721174,-25580.732109237742,-15580.732109237726,-255.8073210923773,0.3388279584757241,-255.7045826012188,-19.277115379983226,31.512611653913076,-42.469789854298114
strict_impulse_3.0,1.4,0.5,0.45,3.0,1327,416,911,31.348907309721174,-25580.732109237742,-15580.732109237726,-255.8073210923773,0.3388279584757241,-255.7045826012188,-19.277115379983226,31.512611653913076,-42.469789854298114
"combo_E(3.0,0.75,0.30,3.0)",3.0,0.75,0.3,3.0,1436,309,1127,21.518105849582174,-27827.946143672274,-17827.94614367227,-278.2794614367227,0.26437221019982066,-278.3884284612377,-19.378792579158965,32.36535309429895,-33.565962954579106
"combo_B(2.5,0.75,0.30,3.0)",2.5,0.75,0.3,3.0,2430,512,1918,21.069958847736626,-49097.89546859243,-39097.895468592505,-490.97895468592515,0.24341942200077019,-491.08792171043996,-20.204895254564786,30.852684236783475,-33.834447235571204
"combo_D(3.0,1.00,0.45,3.0)",3.0,1.0,0.45,3.0,2736,553,2183,20.211988304093566,-51530.216558003856,-41530.21655800389,-515.302165580039,0.23510786233614275,-514.3494244997396,-18.83414347880258,28.6420298001274,-30.860860759264458
wider_target_0.75,1.4,0.75,0.45,1.8,4384,1030,3354,23.494525547445257,-86655.57382383852,-76655.57382383844,-866.5557382383844,0.2722606897649421,-866.6647052628994,-19.766326145948568,31.47519166673125,-35.50239154459503
"combo_C(2.5,1.00,0.45,3.0)",2.5,1.0,0.45,3.0,4496,912,3584,20.284697508896798,-87112.14620563848,-77112.14620563833,-871.1214620563833,0.2275562539982226,-866.2611465911333,-19.375477358905353,28.13881407492675,-31.46616758983584
wider_target_1.00,1.4,1.0,0.45,1.8,7876,1601,6275,20.32757745048248,-152154.61183791433,-142154.61183791404,-1521.5461183791404,0.24234385140416795,-1512.2657816732597,-19.318767374036863,30.398604152966293,-32.00362981463161
