side,entry_time,exit_time,entry,exit,stop,target,bars_held,reason,gross_pnl,net_pnl,ret_on_capital_pct
SHORT,2026-03-22 23:07:00+00:00,2026-03-22 23:08:00+00:00,24065.25,24061.6875,24081.108035714286,24061.6875,2,target_25pct,7.125,4.725,0.04724999999999999
SHORT,2026-03-22 23:17:00+00:00,2026-03-22 23:17:00+00:00,24072.25,24069.125,24087.008928571428,24069.125,1,target_25pct,6.25,3.85,0.038500000000000006
LONG,2026-03-22 23:31:00+00:00,2026-03-22 23:31:00+00:00,24039.0,24045.625,24027.382142857143,24045.625,1,target_25pct,13.25,10.85,0.1085
LONG,2026-03-22 23:37:00+00:00,2026-03-22 23:39:00+00:00,24035.75,24040.9375,24021.911607142858,24040.9375,3,target_25pct,10.375,7.975,0.07974999999999999
SHORT,2026-03-23 00:15:00+00:00,2026-03-23 00:15:00+00:00,24056.0,24044.9375,24078.394642857143,24044.9375,1,target_25pct,22.125,19.725,0.19725000000000004
SHORT,2026-03-23 00:25:00+00:00,2026-03-23 00:27:00+00:00,24073.25,24057.875,24094.222321428573,24057.875,3,target_25pct,30.75,28.35,0.28350000000000003
LONG,2026-03-23 00:44:00+00:00,2026-03-23 00:44:00+00:00,23978.5,23991.25,23951.01785714286,23991.25,1,target_25pct,25.5,23.1,0.231
SHORT,2026-03-23 01:31:00+00:00,2026-03-23 01:31:00+00:00,24018.75,24037.666964285716,24037.666964285716,24008.375,1,stop,-37.8339285714319,-40.233928571431896,-0.40233928571431893
LONG,2026-03-23 02:56:00+00:00,2026-03-23 03:00:00+00:00,24003.0,24016.0,23994.779464285715,24016.0,5,target_25pct,26.0,23.6,0.23600000000000002
LONG,2026-03-23 03:17:00+00:00,2026-03-23 03:20:00+00:00,23983.75,23988.5625,23971.04107142857,23988.5625,4,target_25pct,9.625,7.225,0.07225
LONG,2026-03-23 04:06:00+00:00,2026-03-23 04:06:00+00:00,23955.25,23963.0,23945.53125,23963.0,1,target_25pct,15.5,13.1,0.131
SHORT,2026-03-23 04:41:00+00:00,2026-03-23 04:43:00+00:00,23996.5,23991.1875,24005.207142857143,23991.1875,3,target_25pct,10.625,8.225,0.08225
SHORT,2026-03-23 05:18:00+00:00,2026-03-23 05:18:00+00:00,24018.5,24011.4375,24027.605357142857,24011.4375,1,target_25pct,14.125,11.725,0.11725
LONG,2026-03-23 05:27:00+00:00,2026-03-23 05:30:00+00:00,23989.25,23974.804464285713,23974.804464285713,23992.4375,4,stop,-28.891071428573923,-31.29107142857392,-0.3129107142857392
LONG,2026-03-23 05:35:00+00:00,2026-03-23 05:35:00+00:00,23959.0,23965.8125,23937.858035714286,23965.8125,1,target_25pct,13.625,11.225,0.11225
LONG,2026-03-23 05:52:00+00:00,2026-03-23 05:52:00+00:00,23955.0,23939.033035714285,23939.033035714285,23958.6875,1,stop,-31.933928571430442,-34.33392857143044,-0.3433392857143044
LONG,2026-03-23 05:55:00+00:00,2026-03-23 05:55:00+00:00,23951.0,23960.375,23941.436607142856,23960.375,1,target_25pct,18.75,16.35,0.1635
LONG,2026-03-23 06:39:00+00:00,2026-03-23 06:40:00+00:00,23904.5,23909.625,23888.117857142857,23909.625,2,target_25pct,10.25,7.85,0.0785
LONG,2026-03-23 06:50:00+00:00,2026-03-23 06:55:00+00:00,23874.5,23861.800892857143,23861.800892857143,23887.125,6,stop,-25.39821428571304,-27.798214285713037,-0.2779821428571304
LONG,2026-03-23 06:59:00+00:00,2026-03-23 06:59:00+00:00,23844.5,23855.125,23821.664285714287,23855.125,1,target_25pct,21.25,18.85,0.18850000000000003
SHORT,2026-03-23 07:14:00+00:00,2026-03-23 07:15:00+00:00,23889.0,23884.0625,23910.715178571427,23884.0625,2,target_25pct,9.875,7.475,0.07475
LONG,2026-03-23 07:27:00+00:00,2026-03-23 07:28:00+00:00,23806.25,23793.116964285713,23793.116964285713,23829.5625,2,stop,-26.266071428573923,-28.66607142857392,-0.28666071428573925
LONG,2026-03-23 07:31:00+00:00,2026-03-23 07:31:00+00:00,23811.5,23821.6875,23781.275,23821.6875,1,target_25pct,20.375,17.975,0.17975
SHORT,2026-03-23 07:50:00+00:00,2026-03-23 07:50:00+00:00,23860.75,23847.75,23880.24732142857,23847.75,1,target_25pct,26.0,23.6,0.23600000000000002
SHORT,2026-03-23 08:17:00+00:00,2026-03-23 08:17:00+00:00,23902.0,23893.875,23926.467857142856,23893.875,1,target_25pct,16.25,13.85,0.13849999999999998
