year_month,trades,wins,losses,win_rate,net_pnl,avg_pnl
2025-04,9,6,3,66.67,-55.19,-6.13
2025-05,24,15,9,62.5,-35.78,-1.49
2025-06,18,10,8,55.56,-132.16,-7.34
2025-07,23,19,4,82.61,106.68,4.64
2025-08,21,12,9,57.14,-143.25,-6.82
2025-09,22,15,7,68.18,-13.96,-0.63
2025-10,20,12,8,60.0,-158.07,-7.9
2025-11,29,14,15,48.28,-452.78,-15.61
2025-12,38,25,13,65.79,-49.4,-1.3
2026-01,25,18,7,72.0,93.21,3.73
2026-02,33,15,18,45.45,-736.44,-22.32
2026-03,27,23,4,85.19,357.86,13.25
2026-04,12,7,5,58.33,-29.72,-2.48
