side,entry_time_et,weekday,weekday_num,hour_et,mins_from_open,bars_held,reason,gross_pnl,net_pnl,date_et,opening_bucket,year_month
SHORT,2025-04-22 11:21:00-04:00,Tuesday,1,11,111,1,target_25pct,4.5,2.1,2025-04-22,90-120,2025-04
LONG,2025-04-23 11:23:00-04:00,Wednesday,2,11,113,1,stop,-38.59464285714057,-40.99464285714057,2025-04-23,90-120,2025-04
LONG,2025-04-23 11:31:00-04:00,Wednesday,2,11,121,2,stop,-69.30000000000291,-71.70000000000292,2025-04-23,120-180,2025-04
SHORT,2025-04-24 11:15:00-04:00,Thursday,3,11,105,5,target_25pct,30.75,28.35,2025-04-24,90-120,2025-04
SHORT,2025-04-25 11:16:00-04:00,Friday,4,11,106,1,target_25pct,13.375,10.975,2025-04-25,90-120,2025-04
SHORT,2025-04-25 11:26:00-04:00,Friday,4,11,116,3,target_25pct,13.75,11.35,2025-04-25,90-120,2025-04
LONG,2025-04-28 11:31:00-04:00,Monday,0,11,121,6,target_25pct,47.25,44.85,2025-04-28,120-180,2025-04
SHORT,2025-04-30 11:20:00-04:00,Wednesday,2,11,110,2,stop,-39.44642857142753,-41.84642857142753,2025-04-30,90-120,2025-04
SHORT,2025-04-30 11:25:00-04:00,Wednesday,2,11,115,1,target_25pct,4.125,1.725,2025-04-30,90-120,2025-04
SHORT,2025-05-01 11:02:00-04:00,Thursday,3,11,92,2,target_25pct,17.125,14.725,2025-05-01,90-120,2025-05
SHORT,2025-05-01 11:08:00-04:00,Thursday,3,11,98,4,stop,-30.78214285714057,-33.18214285714057,2025-05-01,90-120,2025-05
SHORT,2025-05-01 11:21:00-04:00,Thursday,3,11,111,2,target_25pct,25.875,23.475,2025-05-01,90-120,2025-05
SHORT,2025-05-02 11:19:00-04:00,Friday,4,11,109,1,target_25pct,11.75,9.35,2025-05-02,90-120,2025-05
SHORT,2025-05-05 11:06:00-04:00,Monday,0,11,96,1,target_25pct,41.0,38.6,2025-05-05,90-120,2025-05
LONG,2025-05-07 11:05:00-04:00,Wednesday,2,11,95,9,stop,-57.73750000000291,-60.13750000000291,2025-05-07,90-120,2025-05
LONG,2025-05-07 11:16:00-04:00,Wednesday,2,11,106,6,target_25pct,62.75,60.35,2025-05-07,90-120,2025-05
SHORT,2025-05-09 11:11:00-04:00,Friday,4,11,101,1,target_25pct,18.375,15.975,2025-05-09,90-120,2025-05
SHORT,2025-05-15 11:07:00-04:00,Thursday,3,11,97,4,stop,-30.205357142855064,-32.60535714285506,2025-05-15,90-120,2025-05
