label,ticks,time_mode,trades,wins,losses,win_rate,net_pnl,final_equity,return_pct,profit_factor,max_drawdown_pct,avg_trade_pnl
best_90_120,6,opening_90_120,301,191,110,63.45514950166113,-1248.999999999984,8751.000000000126,-12.489999999998746,0.7418474750554209,-16.479719391848235,-4.1495016611295155
extended_90_180,6,opening_90_180,811,543,268,66.95437731196054,-1762.9303571428304,8237.069642857465,-17.629303571425346,0.8346274305047814,-24.168249999997204,-2.1737735599788293
core_30_90,6,opening_30_90,599,375,224,62.604340567612695,-2160.351785714319,7839.6482142859,-21.603517857140996,0.8116700709251191,-27.101446428569997,-3.6065973050322517
extended_90_240,6,opening_90_240,1303,881,422,67.61320030698388,-2320.8232142856973,7679.176785714777,-23.208232142852225,0.8531675003844073,-32.81658069795016,-1.7811383072031446
late_60_120,6,opening_60_120,595,368,227,61.84873949579832,-2365.6750000000106,7634.325000000206,-23.65674999999794,0.76302905696949,-34.118673876452,-3.975924369747917
exclude_0_30_30_120,6,opening_30_120,881,552,329,62.6560726447219,-3408.5392857143006,6591.46071428602,-34.085392857139794,0.7870060883714353,-42.46841071428328,-3.8689435706178212
ticks_8__opening,8,opening,1095,689,406,62.92237442922375,-4409.996428571424,5590.003571428975,-44.09996428571025,0.7841175948149023,-54.885535714282426,-4.027393998695365
ticks_6__opening,6,opening,1118,708,410,63.327370304114496,-4537.0303571428485,5462.969642857559,-45.37030357142441,0.7793254964496048,-56.18012499999661,-4.058166687963192
core_0_120,6,opening_0_120,1118,708,410,63.327370304114496,-4537.0303571428485,5462.969642857559,-45.37030357142441,0.7793254964496048,-56.18012499999661,-4.058166687963192
ticks_4__opening,4,opening,1142,715,427,62.60945709281961,-4665.8160714285605,5334.183928571856,-46.658160714281436,0.7744982094799312,-57.463732142853644,-4.085653302476848
ticks_8__regular,8,regular,3054,1993,1061,65.25867714472822,-8263.844642857128,1736.1553571432228,-82.63844642856778,0.8079761854524573,-94.87317857142467,-2.7059085274581296
ticks_6__regular,6,regular,3185,2099,1086,65.90266875981162,-9049.955357142842,950.0446428574669,-90.49955357142532,0.793807136871441,-101.50042857142529,-2.841430253420045
ticks_4__regular,4,regular,3295,2144,1151,65.06828528072838,-9484.63749999997,515.3625000003792,-94.84637499999621,0.7860159399964415,-105.84624999999632,-2.8784939301972594
ticks_8__off,8,off,9652,6035,3617,62.525901367592205,-21138.76964285697,-11138.769642854752,-211.38769642854749,0.7770486154932862,-214.0799179166478,-2.1900921718666564
ticks_6__off,6,off,10474,6672,3802,63.7005919419515,-23872.173214285544,-13872.17321428302,-238.72173214283023,0.7566639161154518,-240.64821312297093,-2.279183999836313
ticks_4__off,4,off,11226,6981,4245,62.185996793158736,-25843.501785714103,-15843.50178571123,-258.4350178571123,0.7417252831131232,-260.2577791526139,-2.302111329566551
