trade_date,trades,net_pnl
2026-03-23,1,43.725
2026-03-24,4,-3.264285714286963
2026-03-25,4,2.137500000002909
2026-03-26,3,-12.851785714282594
2026-03-27,2,14.95
2026-03-30,5,113.8267857142855
2026-03-31,5,210.375
2026-04-01,5,-46.539285714279686
2026-04-02,7,-77.91428571428408
2026-04-06,2,-76.67142857143045
2026-04-07,2,147.825
2026-04-08,5,6.267857142855069
2026-04-09,5,43.625
2026-04-10,6,-9.642857142853602
2026-04-13,3,95.80000000000001
2026-04-14,4,-32.933928571424616
2026-04-15,6,-38.56071428571012
2026-04-16,4,-89.2178571428536
2026-04-17,2,-20.6482142857174
