entry_hhmm,trades,wins,losses,win_rate,net_pnl,avg_trade_pnl
11:00,2,2,0,100.0,101.19999999999999,50.599999999999994
10:47,2,2,0,100.0,84.44999999999999,42.224999999999994
10:11,1,1,0,100.0,78.225,78.225
10:59,2,2,0,100.0,72.2,36.1
10:01,1,1,0,100.0,70.6,70.6
11:08,1,1,0,100.0,69.6,69.6
10:51,2,2,0,100.0,56.575,28.2875
10:26,2,2,0,100.0,54.075,27.0375
11:28,1,1,0,100.0,53.225,53.225
11:21,1,1,0,100.0,50.975,50.975
10:04,1,1,0,100.0,49.725,49.725
10:35,1,1,0,100.0,30.475,30.475
11:11,2,2,0,100.0,27.075000000000003,13.537500000000001
11:09,1,1,0,100.0,25.725,25.725
10:46,1,1,0,100.0,25.725,25.725
11:20,4,2,2,50.0,25.36250000000146,6.340625000000365
10:57,2,2,0,100.0,23.575,11.7875
11:07,1,1,0,100.0,23.1,23.1
09:35,1,1,0,100.0,22.725,22.725
09:46,1,1,0,100.0,20.6,20.6
10:34,1,1,0,100.0,20.475,20.475
11:30,1,1,0,100.0,14.35,14.35
10:09,2,1,1,50.0,13.619642857144939,6.809821428572469
10:30,1,1,0,100.0,10.85,10.85
10:41,1,1,0,100.0,10.85,10.85
09:41,1,1,0,100.0,9.975,9.975
10:39,1,1,0,100.0,9.725,9.725
11:22,1,1,0,100.0,8.1,8.1
11:26,1,1,0,100.0,7.725,7.725
09:58,1,1,0,100.0,6.475,6.475
10:49,1,1,0,100.0,6.1,6.1
10:17,1,1,0,100.0,4.975,4.975
09:43,1,1,0,100.0,4.35,4.35
09:31,1,1,0,100.0,4.1,4.1
11:12,1,1,0,100.0,2.1,2.1
10:38,1,1,0,100.0,0.7250000000000001,0.7250000000000001
10:28,2,1,1,50.0,-12.951785714282593,-6.475892857141297
09:57,2,1,1,50.0,-13.980357142853606,-6.990178571426803
09:56,3,2,1,66.67,-21.196428571430445,-7.065476190476815
10:19,1,0,1,0.0,-23.582142857142024,-23.582142857142024
10:52,1,0,1,0.0,-24.953571428572467,-24.953571428572467
10:33,1,0,1,0.0,-25.301785714282595,-25.301785714282595
11:24,1,0,1,0.0,-25.480357142855063,-25.480357142855063
11:13,1,0,1,0.0,-28.7125,-28.7125
09:53,3,2,1,66.67,-31.12321428571449,-10.37440476190483
11:04,1,0,1,0.0,-34.39285714285361,-34.39285714285361
10:56,2,1,1,50.0,-39.596428571426074,-19.798214285713037
10:55,1,0,1,0.0,-46.257142857144935,-46.257142857144935
10:36,1,0,1,0.0,-47.2482142857174,-47.2482142857174
10:21,2,1,1,50.0,-47.87321428571595,-23.936607142857977
09:50,1,0,1,0.0,-61.426785714282595,-61.426785714282595
10:02,1,0,1,0.0,-63.23035714285506,-63.23035714285506
10:25,2,1,1,50.0,-77.3124999999971,-38.65624999999855
11:18,1,0,1,0.0,-79.31428571428697,-79.31428571428697
10:42,1,0,1,0.0,-125.48571428571304,-125.48571428571304
