time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,PriceUSD,SplyCur,TxCnt
2018-01-01 00:00:00+00:00,btc,972783,2.69423548,225887722580.94855,14923655.7184224,13464.6536116306,16776348.58618491,241625
2018-01-02 00:00:00+00:00,btc,1142721,2.92544313,247555189825.1814,16415540.6673567,14754.322204851,16778486.0861849,343664
2018-01-03 00:00:00+00:00,btc,1130917,2.96026687,251879335164.3486,15071578.273538,15010.2861595558,16780448.58618488,396942
2018-01-04 00:00:00+00:00,btc,1253986,2.94402195,252918055361.86145,16127548.7258241,15070.3007986558,16782548.58618486,424762
2018-01-05 00:00:00+00:00,btc,1069525,3.26196426,285287177348.30896,13727615.8797194,16997.2274079486,16784336.08618409,339441
2018-01-06 00:00:00+00:00,btc,1163503,3.24692954,287108308287.3724,16127548.7258241,17103.589279661,16786436.08618407,356470
2018-01-07 00:00:00+00:00,btc,1130388,3.04278121,272505179860.49536,15551564.842759,16231.6949994155,16788461.08618405,372566
2018-01-08 00:00:00+00:00,btc,1157303,2.80152545,250807207092.34375,15935554.0981357,14937.4150894214,16790536.08612404,345855
2018-01-09 00:00:00+00:00,btc,1145338,2.69017079,241453646852.43872,15743559.4704474,14378.5862174167,16792586.08610402,354874
2018-01-10 00:00:00+00:00,btc,1118949,2.73334467,246362365863.32312,15935554.0981357,14669.0882656341,16794661.086094,347701
2018-01-11 00:00:00+00:00,btc,1222969,2.45400706,221498893134.71695,18527481.5719289,13186.7549427236,16797073.58609399,334581
2018-01-12 00:00:00+00:00,btc,1153290,2.55762013,231652981446.49847,17087521.864266,13789.4436639392,16799298.58608398,304727
2018-01-13 00:00:00+00:00,btc,939348,2.63127775,239101104762.3596,15881806.2094572,14231.2250645821,16801161.08608397,264304
2018-01-14 00:00:00+00:00,btc,971840,2.52606465,229884291706.09933,17165770.5545811,13681.0654611338,16803098.58608395,236042
2018-01-15 00:00:00+00:00,btc,949563,2.50804935,228408095575.09323,16612036.0205623,13591.6961966686,16804973.58608393,272139
2018-01-16 00:00:00+00:00,btc,1001819,2.12079726,192121046221.5878,17608758.1817961,11431.0401052016,16806961.08608391,306170
2018-01-17 00:00:00+00:00,btc,1090483,2.07376393,187582403000.91153,18494733.4362261,11159.6085905903,16809048.58608389,314242
2018-01-18 00:00:00+00:00,btc,1050790,2.09352287,189059547788.1338,19159214.8770486,11246.0397302747,16811211.08608388,307893
2018-01-19 00:00:00+00:00,btc,1027992,2.129939,192348146652.9038,18273239.6226186,11440.2555616598,16813273.58608387,242661
