asset,period,name,n_days,total_return_pct,cagr_pct,max_dd_pct,sharpe
btc,1y,A_MVRV_Z,366,-10.913525574351446,-10.920576713385499,-49.1328128580444,-0.058433085140504354
btc,1y,B_AddrMomentum,366,-16.635658671561938,-16.646047135685926,-22.607837935970753,-1.0358454425051982
btc,1y,Buy_and_Hold,366,-11.000368920629466,-11.00747263408376,-49.13281285804444,-0.060787881797712454
btc,1y,C_HashRibbon,366,-9.768026574849642,-9.774378827356689,-32.084620396939336,-0.19740742215918242
btc,1y,D_Ensemble,366,-7.609601709717939,-7.614610090826068,-32.08462039693932,-0.11099105547820318
btc,3y,A_MVRV_Z,1096,247.38028995502762,51.49275465322489,-49.13281285804442,1.1959073033200063
btc,3y,B_AddrMomentum,1096,51.68222196865733,14.908689040464097,-30.166551484834926,0.6497002284114355
btc,3y,Buy_and_Hold,1096,177.51788637321027,40.56100954529105,-49.13281285804444,0.9616934026076532
btc,3y,C_HashRibbon,1096,169.77862880008735,39.24114456436949,-33.13521648503605,1.0060181045217245
btc,3y,D_Ensemble,1096,237.57303575211733,50.052492908075386,-32.084620396939336,1.2053112447293612
btc,5y,A_MVRV_Z,1826,151.62935613476677,20.283805600781555,-76.66881595920356,0.615015052457152
btc,5y,B_AddrMomentum,1826,37.907392898405725,6.6440503469997525,-39.693831318759784,0.3676757368827202
btc,5y,Buy_and_Hold,1826,40.192724061802366,6.9954215832038535,-76.66881595920351,0.39953786817071546
btc,5y,C_HashRibbon,1826,69.6268296727319,11.15534389637396,-66.6372629911112,0.459476203410323
btc,5y,D_Ensemble,1826,139.82113524659297,19.132301043259847,-66.63726299111123,0.6085059519379955
eth,1y,A_MVRV_Z,366,45.95294272229216,45.990746837743444,-61.705713814922824,0.8771840791024658
eth,1y,B_AddrMomentum,366,16.92154506374568,16.934065386291962,-35.55106336694052,0.5981823122793954
eth,1y,Buy_and_Hold,366,45.81001205373207,45.84768127280556,-61.7057138149228,0.8758354905052487
eth,1y,C_HashRibbon,366,0.0,0.0,0.0,0.0
eth,1y,D_Ensemble,366,16.92154506374557,16.934065386291852,-35.55106336694054,0.5981823122793911
eth,3y,A_MVRV_Z,1096,64.20236727320534,17.98921490723877,-63.34613911953034,0.5727748757980008
eth,3y,B_AddrMomentum,1096,162.19436617845687,37.92299988291472,-35.55106336694054,1.0072474998695837
eth,3y,Buy_and_Hold,1096,24.973667043145408,7.71965218504127,-63.88103105366601,0.4360867689072384
eth,3y,C_HashRibbon,1096,0.0,0.0,0.0,0.0
eth,3y,D_Ensemble,1096,149.29923003134397,35.622232142265034,-35.55106336694054,1.0794054424144277
eth,5y,A_MVRV_Z,1826,59.65022325642613,9.815018097805407,-79.36483452638049,0.4765695904967037
eth,5y,B_AddrMomentum,1826,151.6065544999541,20.281624102200535,-49.33315684737168,0.6434337055564993
eth,5y,Buy_and_Hold,1826,-2.220544996115892,-0.44841327541698117,-79.36483452638046,0.370469369709383
eth,5y,C_HashRibbon,1826,-76.03420339637658,-24.86654047501394,-89.25777153265422,-0.40883487849006506
eth,5y,D_Ensemble,1826,-20.615356641116843,-4.515349042788297,-85.60757871318765,0.16889736484726559
