date,code,name,buy_date,buy_price,first_money,sell_price,revenue_rate,return_money
2025-01-03,122630,KODEX 레버리지,2025-01-02,13800,993600,13835,-0.046757246376802106,994625.8200000002
2025-01-10,233740,KODEX 코스닥150레버리지,2025-01-03,6801.0,1047354.0,7433.75,8.989823187766515,1143080.30375
2025-01-15,233740,KODEX 코스닥150레버리지,2025-01-13,7350.0,3528000.0,7468.75,1.3132227891156463,3579622.5
2025-02-03,233740,KODEX 코스닥150레버리지,2025-01-31,7831.0,6585871.0,7515.75,-4.3196287191929486,6311264.631375
2025-02-20,233740,KODEX 코스닥150레버리지,2025-02-04,7685.879725085911,3443274.116838488,8795.5,14.115472062169612,3934473.423999998
2025-02-25,122630,KODEX 레버리지,2025-02-20,16915,6393870,16120,-4.992920484776817,6084219.96
2025-02-28,233740,KODEX 코스닥150레버리지,2025-02-21,8799.5,3924577.0,8656.5,-1.9226546962895577,3855007.8014999996
2025-03-06,233740,KODEX 코스닥150레버리지,2025-03-05,8355.5,6458801.5,8305.5,-0.8975106217461514,6410521.2727500005
2025-03-11,251340,KODEX 코스닥150선물인버스,2025-03-05,3712.0,2431360.0,3916.5,5.200895743534484,2561459.53875
2025-03-14,251340,KODEX 코스닥150선물인버스,2025-03-13,3843.0,4553955.0,3840.0,-0.37794691647150047,4543574.4
2025-04-01,251340,KODEX 코스닥150선물인버스,2025-03-18,3748.0,599680.0,4113.25,9.430579642475998,657132.82
2025-04-03,251340,KODEX 코스닥150선물인버스,2025-04-02,4125.0,4574625.0,4233.25,2.3203060606060633,4687632.238625
2025-04-04,122630,KODEX 레버리지,2025-04-03,14750,3820250,14820,0.17386440677966394,3832622.4299999997
2025-04-11,251340,KODEX 코스닥150선물인버스,2025-04-08,4273.0,1978399.0,4134.75,-3.530578633278722,1911517.6661249998
2025-04-16,233740,KODEX 코스닥150레버리지,2025-04-11,6352.405132192846,1200604.569984448,6762.5,6.146058099006847,1276195.33125
2025-04-22,122630,KODEX 레버리지,2025-04-11,13820,2446140,14585,5.227152677279315,2577672.6825
2025-04-28,233740,KODEX 코스닥150레버리지,2025-04-17,6742.0,1618080.0,7132.5,5.483361762088408,1709232.2999999998
2025-04-30,233740,KODEX 코스닥150레버리지,2025-04-29,7143.0,3635787.0,7003.75,-2.246536819263612,3559561.3868750003
2025-05-07,233740,KODEX 코스닥150레버리지,2025-05-02,6955.0,3901755.0,7017.5,0.597286125089865,3930912.2737499997
2025-05-16,233740,KODEX 코스닥150레버리지,2025-05-13,7113.0,3919263.0,6993.75,-1.9739930409110005,3847775.9156250004
2025-05-20,122630,KODEX 레버리지,2025-04-30,15525,4719600,16480,5.842141706924331,5002405.120000001
2025-05-21,251340,KODEX 코스닥150선물인버스,2025-05-20,4026.0,3683790.0,4003.5,-0.8580290611028243,3657707.69625
2025-05-26,251340,KODEX 코스닥150선물인버스,2025-05-22,4049.2,3340590.0,3974.0,-2.1543712338239556,3273632.1750000003
2025-06-02,251340,KODEX 코스닥150선물인버스,2025-05-27,3980.0,2368100.0,3870.75,-3.0408574120602916,2299641.6056250003
2025-06-04,122630,KODEX 레버리지,2025-05-30,17705,8038070,17960,1.1381107031911963,8141609.24
2025-06-16,122630,KODEX 레버리지,2025-06-05,18745,5211110,20390,8.462510002667383,5659917.37
2025-06-25,233740,KODEX 코스닥150레버리지,2025-06-17,8040.0,5427000.0,8338.5,3.407117537313447,5620044.76875
2025-06-27,122630,KODEX 레버리지,2025-06-17,21075,5437350,23185,9.696844602609726,5972757.404999999
2025-07-03,122630,KODEX 레버리지,2025-06-30,23205,5778045,23435,0.6896789485024772,5826562.0275
2025-07-07,122630,KODEX 레버리지,2025-07-04,24025,5814050,22625,-6.118522372528616,5467037.125
2025-07-09,251340,KODEX 코스닥150선물인버스,2025-07-08,3675.0,393225.0,3605.75,-2.1815272108843544,385236.527125
2025-07-18,122630,KODEX 레버리지,2025-07-11,24720,370800,25120,1.3156957928802577,376234.8000000001
2025-07-22,233740,KODEX 코스닥150레버리지,2025-07-09,8132.5,10865020.0,9307.0,14.120390408853375,12415500.771999998
2025-08-01,233740,KODEX 코스닥150레버리지,2025-07-24,9313.5,8326269.0,8590.0,-8.056640897621735,7667940.810000001
2025-08-12,233740,KODEX 코스닥150레버리지,2025-08-06,8737.0,7889511.0,9025.5,2.997095685017745,8137801.460250001
2025-08-25,251340,KODEX 코스닥150선물인버스,2025-08-21,3536.0,1237600.0,3435.75,-3.130871747737554,1200708.73125
2025-08-25,122630,KODEX 레버리지,2025-08-22,24440,7796360,24935,1.7223301963993447,7942333.6025
2025-08-29,233740,KODEX 코스닥150레버리지,2025-08-28,8908.0,810628.0,8812.0,-1.3760664571171861,800689.162
2025-09-04,251340,KODEX 코스닥150선물인버스,2025-09-01,3501.0,1242855.0,3437.5,-2.111046843758926,1218482.03125
2025-09-17,233740,KODEX 코스닥150레버리지,2025-09-04,8831.0,2243074.0,9833.0,11.029373796852001,2493835.6270000003
