date,code,name,buy_date,buy_price,first_money,sell_price,revenue_rate,return_money
2020-01-03,122630,KODEX 레버리지,2020-01-02,14425,4991050,14305,-1.1306412478336125,4942105.705
2020-01-08,233740,KODEX 코스닥150레버리지,2020-01-07,8358.0,5491206.0,8125.5,-3.077593323761657,5330445.819750001
2020-01-14,233740,KODEX 코스닥150레버리지,2020-01-13,8778.0,6346494.0,8819.75,0.17490743905217657,6367114.231125
2020-01-22,122630,KODEX 레버리지,2020-01-21,15475,4890100,15070,-2.913198707592889,4754976.82
2020-02-03,251340,KODEX 코스닥150선물인버스,2020-01-29,7873.0,1511616.0,8121.5,2.851622634319829,1556989.0080000001
2020-02-06,251340,KODEX 코스닥150선물인버스,2020-02-05,7847.0,3374210.0,7717.0,-1.954199056964444,3313332.535
2020-02-07,122630,KODEX 레버리지,2020-02-05,14275,2169800,14850,3.721978984238181,2253814.1999999997
2020-02-18,233740,KODEX 코스닥150레버리지,2020-02-17,8780.5,2836101.5,8687.0,-1.3632623426911785,2801692.1485
2020-02-28,233740,KODEX 코스닥150레버리지,2020-02-27,8105.0,4141655.0,7416.075000000001,-8.787249999999986,3783929.9035125
2020-03-02,251340,KODEX 코스닥150선물인버스,2020-02-27,8000.0,2120000.0,8130.5,1.3288031250000019,2151350.62625
2020-03-10,122630,KODEX 레버리지,2020-03-04,11995,2554935,11420,-5.086473530637759,2428811.3099999996
2020-03-10,251340,KODEX 코스닥150선물인버스,2020-03-06,7987.0,4832135.0,8166.25,1.9409055339927452,4933170.378124999
2020-03-11,233740,KODEX 코스닥150레버리지,2020-03-10,7284.0,750252.0,7228.75,-1.057374038989558,743444.4081250001
2020-03-18,122630,KODEX 레버리지,2020-03-17,8130,3780450,8490,4.121402214022155,3941928.2250000006
2020-03-23,252670,KODEX 200선물인버스2X,2020-03-10,7430,2392460,11805,58.494582772543765,3795508.1850000015
2020-03-27,233740,KODEX 코스닥150레버리지,2020-03-26,5398.0,3022880.0,5550.0,2.5116339384957427,3103338.0
2020-04-01,233740,KODEX 코스닥150레버리지,2020-03-30,5492.187845303867,3053656.44198895,6162.5,11.88652211679876,3421210.475
2020-04-03,122630,KODEX 레버리지,2020-03-23,6415,2976560,8405,30.67451286048324,3894070.1199999996
2020-04-10,233740,KODEX 코스닥150레버리지,2020-04-02,6288.0,3188016.0,6916.25,9.676266300890594,3501278.9418749996
2020-04-17,122630,KODEX 레버리지,2020-04-06,8565,4942005,9915,15.438178633975488,5712373.567500003
2020-04-21,233740,KODEX 코스닥150레버리지,2020-04-14,6849.0,6410664.0,7300.75,6.285959629142947,6823251.747
2020-04-22,122630,KODEX 레버리지,2020-04-20,10100,5807500,9400,-7.220297029702974,5396892.5
2020-04-24,233740,KODEX 코스닥150레버리지,2020-04-22,7348.0,7311260.0,7386.5,0.22316616766467232,7338543.148750001
2020-05-06,122630,KODEX 레버리지,2020-04-24,9895,5026660,10025,1.0118241536129322,5085060.95
2020-05-15,233740,KODEX 코스닥150레버리지,2020-05-13,8329.5,7346619.0,8647.25,3.5090326550213207,7615434.188250001
2020-05-22,233740,KODEX 코스닥150레버리지,2020-05-20,8705.5,8818671.5,9026.0,3.3760582390442955,9129622.993
2020-05-29,122630,KODEX 레버리지,2020-05-27,11000,6930000,11055,0.19925000000001256,6954203.025
2020-06-03,233740,KODEX 코스닥150레버리지,2020-05-29,8966.5,9020299.0,10135.75,12.720644900462833,10181269.65325
2020-06-12,122630,KODEX 레버리지,2020-06-02,11585,4830945,11950,2.845899870522233,4975675.275
2020-06-15,233740,KODEX 코스닥150레버리지,2020-06-12,10189.201492537313,9852957.843283582,10104.75,-1.127590026169052,9756636.310125
2020-06-29,233740,KODEX 코스닥150레버리지,2020-06-16,9907.784938752784,9778983.734548997,10273.5,3.385652150432266,10124734.583250003
2020-07-16,233740,KODEX 코스닥150레버리지,2020-07-02,10120.5,4493502.0,11082.25,9.188734499283639,4913138.221499999
2020-07-30,233740,KODEX 코스닥150레버리지,2020-07-17,11081.0,10261006.0,12118.75,9.05108180669616,11205129.556250002
2020-08-12,233740,KODEX 코스닥150레버리지,2020-08-03,12232.5,10862460.0,13654.25,11.305292254240756,12106786.539
2020-08-14,233740,KODEX 코스닥150레버리지,2020-08-13,13761.0,12095919.0,13500.5,-2.1901914831770894,11849139.090750001
2020-08-18,122630,KODEX 레버리지,2020-08-06,14540,5830540,15800,8.35275103163687,6326296.300000001
2020-08-21,233740,KODEX 코스닥150레버리지,2020-08-20,12548.5,11808138.5,11481.8775,-8.787249999999993,10788240.057408752
2020-08-24,251340,KODEX 코스닥150선물인버스,2020-08-20,5479.0,4443469.0,5468.5,-0.4913533491512953,4428301.06975
2020-09-16,233740,KODEX 코스닥150레버리지,2020-08-25,12992.5,11121580.0,14418.5,10.659099480469504,12323722.646
2020-09-21,233740,KODEX 코스닥150레버리지,2020-09-18,14212.0,11895444.0,14140.75,-0.800584893048127,11818054.038375001
2020-10-06,122630,KODEX 레버리지,2020-09-28,14305,5006750,15165,5.702866130723526,5299788.375
2020-10-30,233740,KODEX 코스닥150레버리지,2020-10-29,11019.79185520362,5498876.135746607,11192.5,1.264903265371145,5576679.91375
2020-11-04,122630,KODEX 레버리지,2020-11-03,14340,8231160,15085,4.887465132496522,8645801.815000001
2020-11-06,233740,KODEX 코스닥150레버리지,2020-11-02,10957.0,3571982.0,12258.75,11.562712193118559,3990357.97125
2020-11-11,122630,KODEX 레버리지,2020-11-10,16280,8221400,16220,-0.6679975429975427,8178813.350000001
2020-11-12,233740,KODEX 코스닥150레버리지,2020-11-11,11810.0,8207950.0,11698.75,-1.240585309060113,8118435.303125001
2020-11-17,233740,KODEX 코스닥150레버리지,2020-11-16,12089.0,9755823.0,11873.75,-2.0778734800231624,9567743.075625
2020-11-24,233740,KODEX 코스닥150레버리지,2020-11-18,11920.0,4064720.0,12755.0,6.694526006711412,4342930.8175
2020-11-26,122630,KODEX 레버리지,2020-11-12,16610,9434480,18380,10.340246839253462,10424180.240000004
2020-12-01,122630,KODEX 레버리지,2020-11-27,18720,7057440,18520,-1.366773504273498,6971566.94
2020-12-08,233740,KODEX 코스닥150레버리지,2020-11-26,12790.0,13173700.0,15451.75,20.479963838936683,15891429.54625
2020-12-18,122630,KODEX 레버리지,2020-12-02,18980,6965660,20970,10.168993677555331,7684446.015
2020-12-22,233740,KODEX 코스닥150레버리지,2020-12-10,14788.5,15868060.5,16345.75,10.214346451634725,17512681.265375003
2021-01-06,233740,KODEX 코스닥150레버리지,2020-12-24,15823.5,16377322.5,16757.75,5.595336840774802,17318254.843125
2021-01-14,233740,KODEX 코스닥150레버리지,2021-01-07,17083.5,17305585.5,16769.75,-2.1338125969502695,16962275.114875
2021-01-18,122630,KODEX 레버리지,2020-12-30,22310,8767830,26705,19.37013670999552,10479322.402500002
2021-01-27,233740,KODEX 코스닥150레버리지,2021-01-19,15565.0,11658185.0,16628.5,6.522388371345979,12436064.380250001
2021-01-27,122630,KODEX 레버리지,2021-01-20,28280,13376440,28230,-0.4765381895332303,13332760.815000003
2021-02-10,251340,KODEX 코스닥150선물인버스,2021-02-02,4509.0,11957868.0,4539.0,0.364337990685294,12019371.858
2021-02-16,233740,KODEX 코스닥150레버리지,2021-02-15,15818.5,11974604.5,15789.75,-0.48147659386161695,11934911.488875
2021-02-25,251340,KODEX 코스닥150선물인버스,2021-02-17,4603.0,11949388.0,4784.0,3.6263197914403764,12400635.104000002
2021-03-08,233740,KODEX 코스닥150레버리지,2021-03-04,13941.0,8490069.0,13895.0,-0.6294670396671604,8449361.9175
2021-03-10,122630,KODEX 레버리지,2021-03-09,25595,12106435,25885,0.8313342449697231,12225239.5925
2021-03-15,122630,KODEX 레버리지,2021-03-11,25130,7865690,26500,5.143473935535217,8282058.250000001
2021-03-23,233740,KODEX 코스닥150레버리지,2021-03-19,14415.785714285714,6515935.142857143,14797.5,2.3439191164447806,6678437.295
2021-03-26,233740,KODEX 코스닥150레버리지,2021-03-24,14716.0,8520564.0,14885.0,0.8466872791519475,8605487.377500001
2021-03-31,233740,KODEX 코스닥150레버리지,2021-03-30,14860.0,16152820.0,14637.5,-1.7950622476446791,15887096.05625
2021-04-21,233740,KODEX 코스닥150레버리지,2021-04-16,16057.0,18802747.0,16128.5,0.14462072616305446,18858143.789750002
2021-04-27,233740,KODEX 코스닥150레버리지,2021-04-23,15946.5,18816870.0,16001.5,0.04438591540463707,18853447.345000003
2021-05-14,251340,KODEX 코스닥150선물인버스,2021-05-11,4667.0,16007810.0,4748.5,1.4436843796871752,16262923.9675
2021-05-20,122630,KODEX 레버리지,2021-05-17,27235,8007090,26850,-1.7115017440793017,7882059.15
2021-05-21,233740,KODEX 코스닥150레버리지,2021-05-18,13870.0,8155560.0,14063.75,1.0948044340302818,8257080.7725
2021-06-02,233740,KODEX 코스닥150레버리지,2021-05-27,13950.0,8662950.0,14095.0,0.7378673835125453,8739865.5075
2021-06-07,233740,KODEX 코스닥150레버리지,2021-06-03,13994.0,12412678.0,14016.25,-0.14124178219236141,12413765.129375
2021-07-06,233740,KODEX 코스닥150레버리지,2021-06-30,15124.5,18981247.5,15888.5,4.743829548084237,19910157.39875
2021-07-08,233740,KODEX 코스닥150레버리지,2021-07-07,15908.5,19567455.0,15774.5,-1.141053524845204,19373531.0475
2021-07-16,252670,KODEX 200선물인버스2X,2021-07-12,1925,12701150,1885,-2.3748051948051883,12418574.155000001
2021-07-26,233740,KODEX 코스닥150레버리지,2021-07-13,15505.5,17133577.5,16174.75,4.009736061397573,17846289.101875
2021-08-02,251340,KODEX 코스닥150선물인버스,2021-07-30,4359.0,4764387.0,4363.75,-0.19119350768524307,4762424.381875001
2021-08-04,251340,KODEX 코스닥150선물인버스,2021-08-03,4374.0,12859560.0,4320.5,-1.521302011888425,12683216.595
2021-08-13,233740,KODEX 코스닥150레버리지,2021-08-11,15925.5,8790876.0,15842.5,-0.8203949640513531,8731942.41
2021-08-18,251340,KODEX 코스닥150선물인버스,2021-08-17,4370.0,14643870.0,4390.0,0.15697940503432412,14688823.665000001
2021-08-20,233740,KODEX 코스닥150레버리지,2021-08-19,15411.0,1926375.0,14101.065,-8.787249999999986,1759989.1753125
2021-08-23,251340,KODEX 코스닥150선물인버스,2021-08-19,4426.0,1721714.0,4425.75,-0.30563996836872104,1719034.3248750004
2021-09-01,252670,KODEX 200선물인버스2X,2021-08-17,2045,12748530,2005,-2.2530562347188234,12480421.245000003
2021-09-01,122630,KODEX 레버리지,2021-08-24,25400,9372600,26630,4.535255905511812,9811730.295
2021-09-08,233740,KODEX 코스닥150레버리지,2021-09-03,16511.0,16560533.0,16532.5,-0.16997910483918666,16557224.35375
2021-09-13,233740,KODEX 코스닥150레버리지,2021-09-10,16155.0,4135680.0,15988.75,-1.3275495202723542,4086980.3200000003
2021-09-24,233740,KODEX 코스닥150레버리지,2021-09-14,16068.0,2619084.0,16765.25,4.032861121483702,2728636.646374999
2021-10-06,122630,KODEX 레버리지,2021-10-01,24250,12779750,23180,-4.70575257731959,12197536.21
2021-10-13,122630,KODEX 레버리지,2021-10-08,23120,12438560,21985,-5.201805795847739,11810188.105
2021-10-20,252670,KODEX 200선물인버스2X,2021-09-29,2190,6749580,2205,0.3839041095890461,6785616.284999998
2021-10-20,122630,KODEX 레버리지,2021-10-14,22790,12078700,23950,4.782316805616501,12674459.75
2021-10-28,233740,KODEX 코스닥150레버리지,2021-10-22,14940.0,5647320.0,15382.5,2.6574046184738984,5805863.1225
2021-11-04,233740,KODEX 코스닥150레버리지,2021-11-01,15152.0,5666848.0,15556.25,2.3639626781943073,5809310.443750001
2021-11-10,233740,KODEX 코스닥150레버리지,2021-11-09,15720.5,16993860.5,15546.75,-1.4035868770077184,16780827.694875002
2021-11-16,252670,KODEX 200선물인버스2X,2021-11-08,2275,12598950,2230,-2.2750549450549364,12331215.389999999
2021-11-17,233740,KODEX 코스닥150레버리지,2021-11-12,15652.0,9813804.0,16779.0,6.889557245080502,10504652.3505
2021-11-23,233740,KODEX 코스닥150레버리지,2021-11-19,16581.5,16448848.0,16225.25,-2.4452560082019072,16071304.828
2021-11-25,233740,KODEX 코스닥150레버리지,2021-11-24,16099.0,3429087.0,15900.5,-1.5311463444934443,3381726.29025
2021-11-30,233740,KODEX 코스닥150레버리지,2021-11-26,16012.5,8566687.5,15626.25,-2.7085597189695547,8347503.684375
2021-12-03,251340,KODEX 코스닥150선물인버스,2021-11-30,4202.0,6538312.0,4230.25,0.3712904569252766,6572395.5965
2021-12-03,122630,KODEX 레버리지,2021-12-02,21815,10143975,22615,3.361700664680263,10500201.0375
2021-12-17,233740,KODEX 코스닥150레버리지,2021-12-14,15701.5,6626033.0,15567.75,-1.150551698882268,6559736.114250001
2021-12-27,251340,KODEX 코스닥150선물인버스,2021-12-21,4174.0,10505958.0,4121.0,-1.5678605654048798,10356998.1645
2021-12-29,233740,KODEX 코스닥150레버리지,2021-12-23,15849.0,8479215.0,16785.5,5.600026815571955,8966772.136250002
2022-01-28,122630,KODEX 레버리지,2022-01-27,20100,11838900,18900,-6.261194029850739,11115401.850000001
2022-02-03,252670,KODEX 200선물인버스2X,2022-01-19,2340,8168940,2485,5.887286324786326,8662122.297500003
2022-02-11,122630,KODEX 레버리지,2022-02-04,20195,8098195,20700,2.1968680366427367,8288248.95
2022-03-04,233740,KODEX 코스닥150레버리지,2022-02-28,10918.0,4661986.0,11651.25,6.405899661110108,4967621.124375001
2022-03-18,252670,KODEX 200선물인버스2X,2022-03-10,2560,3366400,2520,-1.8601562499999902,3308829.3000000007
2022-03-18,122630,KODEX 레버리지,2022-03-11,19245,11931900,19755,2.3460639127046,12229727.850000001
2022-03-25,233740,KODEX 코스닥150레버리지,2022-03-22,11958.0,12807018.0,12091.25,0.8126453002174264,12930304.156875
2022-04-06,233740,KODEX 코스닥150레버리지,2022-03-29,11996.0,12847716.0,12173.0,1.1732785928642873,13017727.0755
2022-04-11,233740,KODEX 코스닥150레버리지,2022-04-08,12007.0,6831983.0,11873.75,-1.408104647289082,6746029.5043750005
