date,code,name,buy_date,buy_price,first_money,sell_price,revenue_rate,return_money
2020-01-03,122630,KODEX 레버리지,2020-01-02,14425,4991050,14305,-1.1306412478336125,4942105.705
2020-01-08,233740,KODEX 코스닥150레버리지,2020-01-07,8358.0,5491206.0,8125.5,-3.077593323761657,5330445.819750001
2020-01-14,233740,KODEX 코스닥150레버리지,2020-01-13,8778.0,6346494.0,8819.75,0.17490743905217657,6367114.231125
2020-01-22,122630,KODEX 레버리지,2020-01-21,15475,4890100,15070,-2.913198707592889,4754976.82
2020-02-03,251340,KODEX 코스닥150선물인버스,2020-01-29,7873.0,1511616.0,8121.5,2.851622634319829,1556989.0080000001
2020-02-06,251340,KODEX 코스닥150선물인버스,2020-02-05,7847.0,3374210.0,7717.0,-1.954199056964444,3313332.535
2020-02-07,122630,KODEX 레버리지,2020-02-05,14275,2169800,14850,3.721978984238181,2253814.1999999997
2020-02-18,233740,KODEX 코스닥150레버리지,2020-02-17,8780.5,2836101.5,8687.0,-1.3632623426911785,2801692.1485
2020-02-28,233740,KODEX 코스닥150레버리지,2020-02-27,8105.0,4141655.0,7416.075000000001,-8.787249999999986,3783929.9035125
2020-03-02,251340,KODEX 코스닥150선물인버스,2020-02-27,8000.0,2120000.0,8130.5,1.3288031250000019,2151350.62625
2020-03-04,251340,KODEX 코스닥150선물인버스,2020-03-03,7988.0,3330996.0,8065.5,0.66875,3358268.52975
2020-03-10,122630,KODEX 레버리지,2020-03-04,11995,3286630,11420,-5.086473530637759,3124386.38
2020-03-10,251340,KODEX 코스닥150선물인버스,2020-03-06,7987.0,4328954.0,8166.25,1.9409055339927452,4419468.33875
2020-03-11,233740,KODEX 코스닥150레버리지,2020-03-10,7284.0,837660.0,7228.75,-1.057374038989558,830059.290625
2020-03-17,251340,KODEX 코스닥150선물인버스,2020-03-11,8202.0,4117404.0,9679.5,17.686878200438922,4851820.3365
2020-03-18,122630,KODEX 레버리지,2020-03-17,8130,1357710,8490,4.121402214022155,1415703.2550000001
2020-03-20,251340,KODEX 코스닥150선물인버스,2020-03-18,9534.0,5272302.0,9611.75,0.5142791588000835,5307324.803375
2020-03-23,252670,KODEX 200선물인버스2X,2020-03-10,7430,2659940,11805,58.494582772543765,4219850.715000001
2020-03-27,233740,KODEX 코스닥150레버리지,2020-03-26,5398.0,3238800.0,5550.0,2.5116339384957427,3325005.0
2020-04-01,233740,KODEX 코스닥150레버리지,2020-03-30,5492.187845303867,3273343.9558011047,6162.5,11.88652211679876,3667340.725
2020-04-03,122630,KODEX 레버리지,2020-03-23,6415,3194670,8405,30.67451286048324,4179411.465
2020-04-10,233740,KODEX 코스닥150레버리지,2020-04-02,6288.0,3420672.0,6916.25,9.676266300890594,3756796.3399999994
2020-04-17,122630,KODEX 레버리지,2020-04-06,8565,5301735,9915,15.438178633975488,6128178.922500003
2020-04-21,233740,KODEX 코스닥150레버리지,2020-04-14,6849.0,6876396.0,7300.75,6.285959629142947,7318958.0705
2020-04-22,122630,KODEX 레버리지,2020-04-20,10100,6231700,9400,-7.220297029702974,5791100.300000001
2020-04-24,233740,KODEX 코스닥150레버리지,2020-04-22,7348.0,7847664.0,7386.5,0.22316616766467232,7876948.8270000005
2020-05-06,122630,KODEX 레버리지,2020-04-24,9895,5392775,10025,1.0118241536129322,5455429.562499999
2020-05-15,233740,KODEX 코스닥150레버리지,2020-05-13,8329.5,7888036.5,8647.25,3.5090326550213207,8176662.331375
2020-05-22,233740,KODEX 코스닥150레버리지,2020-05-20,8705.5,9454173.0,9026.0,3.3760582390442955,9787532.646
2020-05-29,122630,KODEX 레버리지,2020-05-27,11000,7436000,11055,0.19925000000001256,7461970.23
2020-06-03,233740,KODEX 코스닥150레버리지,2020-05-29,8966.5,9674853.5,10135.75,12.720644900462833,10920069.538624998
2020-06-12,122630,KODEX 레버리지,2020-06-02,11585,5190080,11950,2.845899870522233,5345569.6
2020-06-15,233740,KODEX 코스닥150레버리지,2020-06-12,10189.201492537313,10566201.947761193,10104.75,-1.127590026169052,10462907.811375
2020-06-29,233740,KODEX 코스닥150레버리지,2020-06-16,9907.784938752784,10492344.250139197,10273.5,3.385652150432266,10863317.045250004
2020-07-16,233740,KODEX 코스닥150레버리지,2020-07-02,10120.5,4817358.0,11082.25,9.188734499283639,5267238.273499999
2020-07-30,233740,KODEX 코스닥150레버리지,2020-07-17,11081.0,11014514.0,12118.75,9.05108180669616,12027968.443750001
2020-08-12,233740,KODEX 코스닥150레버리지,2020-08-03,12232.5,11657572.5,13654.25,11.305292254240756,12992981.499625
2020-08-14,233740,KODEX 코스닥150레버리지,2020-08-13,13761.0,12976623.0,13500.5,-2.1901914831770894,12711875.042750001
2020-08-18,122630,KODEX 레버리지,2020-08-06,14540,6252200,15800,8.35275103163687,6783809.0
2020-08-21,233740,KODEX 코스닥150레버리지,2020-08-20,12548.5,12673985.0,11481.8775,-8.787249999999993,11579301.230587501
2020-08-24,251340,KODEX 코스닥150선물인버스,2020-08-20,5479.0,4761251.0,5468.5,-0.4913533491512953,4744998.31025
2020-09-16,233740,KODEX 코스닥150레버리지,2020-08-25,12992.5,11927115.0,14418.5,10.659099480469504,13216328.725499999
2020-09-21,233740,KODEX 코스닥150레버리지,2020-09-18,14212.0,12748164.0,14140.75,-0.800584893048127,12665226.370875001
2020-10-06,122630,KODEX 레버리지,2020-09-28,14305,5364375,15165,5.702866130723526,5678344.6875
2020-10-20,251340,KODEX 코스닥150선물인버스,2020-10-19,5549.0,8428931.0,5525.25,-0.7273630383852944,8380265.467875
2020-10-27,251340,KODEX 코스닥150선물인버스,2020-10-21,5577.0,8404539.0,5819.25,4.037217590102209,8756455.335375
2020-10-30,233740,KODEX 코스닥150레버리지,2020-10-29,11019.79185520362,5983746.977375566,11192.5,1.264903265371145,6068411.20875
2020-11-04,122630,KODEX 레버리지,2020-11-03,14340,8962500,15085,4.887465132496522,9413982.8125
2020-11-06,233740,KODEX 코스닥150레버리지,2020-11-02,10957.0,3878778.0,12258.75,11.562712193118559,4333088.10375
2020-11-11,122630,KODEX 레버리지,2020-11-10,16280,8954000,16220,-0.6679975429975427,8907618.5
2020-11-12,233740,KODEX 코스닥150레버리지,2020-11-11,11810.0,8928360.0,11698.75,-1.240585309060113,8830988.6175
2020-11-17,233740,KODEX 코스닥150레버리지,2020-11-16,12089.0,10626231.0,11873.75,-2.0778734800231624,10421370.710625
2020-11-24,233740,KODEX 코스닥150레버리지,2020-11-18,11920.0,4422320.0,12755.0,6.694526006711412,4725006.8425
2020-11-26,122630,KODEX 레버리지,2020-11-12,16610,10248370,18380,10.340246839253462,11323449.310000004
2020-12-01,122630,KODEX 레버리지,2020-11-27,18720,7675200,18520,-1.366773504273498,7581810.200000001
2020-12-08,233740,KODEX 코스닥150레버리지,2020-11-26,12790.0,14324800.0,15451.75,20.479963838936683,17280001.060000006
2020-12-18,122630,KODEX 레버리지,2020-12-02,18980,7573020,20970,10.168993677555331,8354479.454999999
2020-12-22,233740,KODEX 코스닥150레버리지,2020-12-10,14788.5,17258179.5,16345.75,10.214346451634725,19046877.014625
2021-01-06,233740,KODEX 코스닥150레버리지,2020-12-24,15823.5,17801437.5,16757.75,5.595336840774802,18824190.046875004
2021-01-14,233740,KODEX 코스닥150레버리지,2021-01-07,17083.5,18791850.0,16769.75,-2.1338125969502695,18419054.9125
2021-01-18,122630,KODEX 레버리지,2020-12-30,22310,9548680,26705,19.37013670999552,11412595.389999999
2021-01-27,233740,KODEX 코스닥150레버리지,2021-01-19,15565.0,12685475.0,16628.5,6.522388371345979,13531899.158750001
2021-01-27,122630,KODEX 레버리지,2021-01-20,28280,14564200,28230,-0.4765381895332303,14516642.325000003
2021-02-10,251340,KODEX 코스닥150선물인버스,2021-02-02,4509.0,13003956.0,4539.0,0.364337990685294,13070840.285999997
2021-02-16,233740,KODEX 코스닥150레버리지,2021-02-15,15818.5,13018625.5,15789.75,-0.48147659386161695,12975471.803625
2021-02-25,251340,KODEX 코스닥150선물인버스,2021-02-17,4603.0,12998872.0,4784.0,3.6263197914403764,13489750.976000004
2021-03-03,251340,KODEX 코스닥150선물인버스,2021-02-26,4915.0,17158265.0,4723.75,-4.185312817904369,16465875.333125
2021-03-05,251340,KODEX 코스닥150선물인버스,2021-03-04,4826.0,21277834.0,4783.25,-1.1844980314960567,21057715.226125002
2021-03-08,233740,KODEX 코스닥150레버리지,2021-03-04,13941.0,9019827.0,13895.0,-0.6294670396671604,8976579.9025
2021-03-10,122630,KODEX 레버리지,2021-03-09,25595,7627310,25885,0.8313342449697231,7702159.404999999
2021-03-11,251340,KODEX 코스닥150선물인버스,2021-03-08,4759.0,21025262.0,4828.0,1.1477096028577394,21298108.843999997
2021-03-15,122630,KODEX 레버리지,2021-03-11,25130,4950610,26500,5.143473935535217,5212669.25
2021-03-23,233740,KODEX 코스닥150레버리지,2021-03-19,14415.785714285714,6876329.785714285,14797.5,2.3439191164447806,7047819.88875
2021-03-26,233740,KODEX 코스닥150레버리지,2021-03-24,14716.0,8991476.0,14885.0,0.8466872791519475,9081092.8975
2021-03-31,233740,KODEX 코스닥150레버리지,2021-03-30,14860.0,17029560.0,14637.5,-1.7950622476446791,16749413.137500001
2021-04-21,233740,KODEX 코스닥150레버리지,2021-04-16,16057.0,19830395.0,16128.5,0.14462072616305446,19888819.45375
2021-04-27,233740,KODEX 코스닥150레버리지,2021-04-23,15946.5,19853392.5,16001.5,0.04438591540463707,19891984.69875
2021-05-14,251340,KODEX 코스닥150선물인버스,2021-05-11,4667.0,16885206.0,4748.5,1.4436843796871752,17154302.8905
2021-05-18,251340,KODEX 코스닥150선물인버스,2021-05-17,4715.0,15960275.0,4668.5,-1.2847348886532268,15779168.19125
2021-05-20,122630,KODEX 레버리지,2021-05-17,27235,8470085,26850,-1.7115017440793017,8337824.475000001
2021-05-21,233740,KODEX 코스닥150레버리지,2021-05-18,13870.0,2441120.0,14063.75,1.0948044340302818,2471507.1699999995
2021-05-25,251340,KODEX 코스닥150선물인버스,2021-05-21,4631.0,27966609.0,4692.0,1.0152342906499774,28292485.518000003
2021-06-02,233740,KODEX 코스닥150레버리지,2021-05-27,13950.0,9151200.0,14095.0,0.7378673835125453,9232450.520000001
2021-06-07,233740,KODEX 코스닥150레버리지,2021-06-03,13994.0,13098384.0,14016.25,-0.14124178219236141,13099531.184999999
2021-07-06,233740,KODEX 코스닥150레버리지,2021-06-30,15124.5,20024838.0,15888.5,4.743829548084237,21004819.439
2021-07-08,233740,KODEX 코스닥150레버리지,2021-07-07,15908.5,20633324.5,15774.5,-1.141053524845204,20428837.21025
2021-07-16,252670,KODEX 200선물인버스2X,2021-07-12,1925,13399925,1885,-2.3748051948051883,13101802.772499999
2021-07-26,233740,KODEX 코스닥150레버리지,2021-07-13,15505.5,18079413.0,16174.75,4.009736061397573,18831468.862250004
2021-08-02,251340,KODEX 코스닥150선물인버스,2021-07-30,4359.0,5030286.0,4363.75,-0.19119350768524307,5028213.848750001
2021-08-04,251340,KODEX 코스닥150선물인버스,2021-08-03,4374.0,13568148.0,4320.5,-1.521302011888425,13382087.7135
2021-08-13,233740,KODEX 코스닥150레버리지,2021-08-11,15925.5,9268641.0,15842.5,-0.8203949640513531,9206504.4975
2021-08-18,251340,KODEX 코스닥150선물인버스,2021-08-17,4370.0,15447950.0,4390.0,0.15697940503432412,15495372.025
2021-08-20,233740,KODEX 코스닥150레버리지,2021-08-19,15411.0,2034252.0,14101.065,-8.787249999999986,1858548.5691300002
2021-08-23,251340,KODEX 코스닥150선물인버스,2021-08-19,4426.0,1814660.0,4425.75,-0.30563996836872104,1811835.6637500003
2021-09-01,252670,KODEX 200선물인버스2X,2021-08-17,2045,13447920,2005,-2.2530562347188234,13165102.680000002
2021-09-01,122630,KODEX 레버리지,2021-08-24,25400,9906000,26630,4.535255905511812,10370121.450000001
2021-09-08,233740,KODEX 코스닥150레버리지,2021-09-03,16511.0,17468638.0,16532.5,-0.16997910483918666,17465147.9225
2021-09-13,233740,KODEX 코스닥150레버리지,2021-09-10,16155.0,4361850.0,15988.75,-1.3275495202723542,4310487.05625
2021-09-24,233740,KODEX 코스닥150레버리지,2021-09-14,16068.0,2763696.0,16765.25,4.032861121483702,2879297.565499999
2021-10-06,122630,KODEX 레버리지,2021-10-01,24250,13483000,23180,-4.70575257731959,12868747.88
2021-10-13,122630,KODEX 레버리지,2021-10-08,23120,13132160,21985,-5.201805795847739,12468748.780000001
2021-10-20,252670,KODEX 200선물인버스2X,2021-09-29,2190,7121880,2205,0.3839041095890461,7159904.009999999
2021-10-20,122630,KODEX 레버리지,2021-10-14,22790,12762400,23950,4.782316805616501,13391882.0
2021-10-28,233740,KODEX 코스닥150레버리지,2021-10-22,14940.0,5961060.0,15382.5,2.6574046184738984,6128411.0737499995
2021-11-04,233740,KODEX 코스닥150레버리지,2021-11-01,15152.0,5985040.0,15556.25,2.3639626781943073,6135501.671875
2021-11-10,233740,KODEX 코스닥150레버리지,2021-11-09,15720.5,17937090.5,15546.75,-1.4035868770077184,17712233.487375002
2021-11-16,252670,KODEX 200선물인버스2X,2021-11-08,2275,13290550,2230,-2.2750549450549364,13008118.51
2021-11-17,233740,KODEX 코스닥150레버리지,2021-11-12,15652.0,10361624.0,16779.0,6.889557245080502,11091036.453
2021-11-23,233740,KODEX 코스닥150레버리지,2021-11-19,16581.5,17360830.5,16225.25,-2.4452560082019072,16962354.994875003
2021-11-25,233740,KODEX 코스닥150레버리지,2021-11-24,16099.0,3622275.0,15900.5,-1.5311463444934443,3572246.0812500003
2021-11-30,233740,KODEX 코스닥150레버리지,2021-11-26,16012.5,9047062.5,15626.25,-2.7085597189695547,8815588.003125
2021-12-03,251340,KODEX 코스닥150선물인버스,2021-11-30,4202.0,6895482.0,4230.25,0.3712904569252766,6931427.489625
2021-12-03,122630,KODEX 레버리지,2021-12-02,21815,10711165,22615,3.361700664680263,11087309.052499998
2021-12-17,233740,KODEX 코스닥150레버리지,2021-12-14,15701.5,6987167.5,15567.75,-1.150551698882268,6917257.276875
