variant,ok,total_ret,cagr,mdd,mar2026,y2022,final,all_n,all_wr,n252,wr252,avg252,period
baseline,True,179.99,121.08,-32.73,-21.06,0.0,27978150,83,51.81,0,0.0,0.0,recent_2025_2026
R1_drop_ma60_up,True,169.11,114.43,-32.65,-21.02,0.0,26891061,84,51.19,1,0.0,-3.25,recent_2025_2026
R2_drop_ma_align,True,170.56,115.32,-32.66,-21.05,0.0,27035284,84,51.19,2,50.0,-1.34,recent_2025_2026
R3_drop_volume,True,163.74,111.13,-32.69,-21.05,0.0,26353826,85,50.59,3,33.33,-2.6,recent_2025_2026
R4_drop_low,True,163.87,111.21,-32.69,-21.05,0.0,26347393,84,50.0,3,33.33,-2.66,recent_2025_2026
R5_drop_RSI_rising,True,163.87,111.21,-32.69,-21.05,0.0,26347393,84,50.0,3,33.33,-2.66,recent_2025_2026
baseline,True,1204.97,67.26,-15.08,0.0,54.88,130399747,295,56.61,21,47.62,3.11,2020_2024_OOS
R1_drop_ma60_up,True,1046.83,62.99,-15.86,0.0,58.8,114596645,296,55.41,28,39.29,1.8,2020_2024_OOS
R2_drop_ma_align,True,1094.64,64.33,-15.86,0.0,50.78,119374090,307,54.4,41,36.59,1.1,2020_2024_OOS
R3_drop_volume,True,1017.64,62.15,-15.86,0.0,45.69,111680321,311,54.02,46,34.78,0.77,2020_2024_OOS
R4_drop_low,True,1101.78,64.52,-15.86,0.0,45.45,120088366,310,54.19,46,34.78,1.06,2020_2024_OOS
R5_drop_RSI_rising,True,1101.78,64.52,-15.86,0.0,45.45,120088366,310,54.19,46,34.78,1.06,2020_2024_OOS
