date,code,name,buy_date,buy_price,first_money,sell_price,revenue_rate,return_money
2025-01-03,122630,KODEX 레버리지,2025-01-02,13800,4995600,13835,-0.046757246376802106,5000757.595000001
2025-01-10,233740,KODEX 코스닥150레버리지,2025-01-03,6801.0,3495714.0,7433.75,8.989823187766515,3815216.0787500003
2025-01-15,233740,KODEX 코스닥150레버리지,2025-01-13,7350.0,5152350.0,7468.75,1.3132227891156463,5227740.359375
2025-02-03,233740,KODEX 코스닥150레버리지,2025-01-31,7831.0,6742491.0,7515.75,-4.3196287191929486,6461354.158875001
2025-02-20,233740,KODEX 코스닥150레버리지,2025-02-04,7685.879725085911,5041937.099656357,8795.5,14.115472062169612,5761193.227999998
2025-02-25,122630,KODEX 레버리지,2025-02-20,16915,5023755,16120,-4.992920484776817,4780458.54
2025-02-28,233740,KODEX 코스닥150레버리지,2025-02-21,8799.5,5754873.0,8656.5,-1.9226546962895577,5652858.973499999
2025-03-06,233740,KODEX 코스닥150레버리지,2025-03-05,8355.5,6784666.0,8305.5,-0.8975106217461514,6733949.901000001
2025-03-11,251340,KODEX 코스닥150선물인버스,2025-03-05,3712.0,2550144.0,3916.5,5.200895743534484,2686599.5467499997
2025-03-14,251340,KODEX 코스닥150선물인버스,2025-03-13,3843.0,6829011.0,3840.0,-0.37794691647150047,6813444.48
2025-04-01,251340,KODEX 코스닥150선물인버스,2025-03-18,3748.0,3144572.0,4113.25,9.430579642475998,3445840.224875001
2025-04-03,251340,KODEX 코스닥150선물인버스,2025-04-02,4125.0,7004250.0,4233.25,2.3203060606060633,7177276.41225
2025-04-04,122630,KODEX 레버리지,2025-04-03,14750,3746500,14820,0.17386440677966394,3758633.5799999996
2025-04-11,251340,KODEX 코스닥150선물인버스,2025-04-08,4273.0,5456621.0,4134.75,-3.530578633278722,5272155.636375
2025-04-21,252670,KODEX 200선물인버스2X,2025-04-04,2370,5474700,2300,-3.249156118143452,5305030.499999998
2025-04-22,122630,KODEX 레버리지,2025-04-15,14450,5259800,14585,0.6328546712802859,5300976.59
2025-04-28,233740,KODEX 코스닥150레버리지,2025-04-22,6909.8,3710562.6,7132.5,2.9181242582998093,3824407.2712499998
2025-04-30,233740,KODEX 코스닥150레버리지,2025-04-29,7143.0,5357250.0,7003.75,-2.246536819263612,5244933.28125
2025-05-07,233740,KODEX 코스닥150레버리지,2025-05-02,6955.0,5244070.0,7017.5,0.597286125089865,5283258.2075000005
2025-05-16,233740,KODEX 코스닥150레버리지,2025-05-13,7113.0,5270733.0,6993.75,-1.9739930409110005,5174595.196875
2025-05-20,122630,KODEX 레버리지,2025-04-30,15525,5340600,16480,5.842141706924331,5660616.320000001
2025-05-21,251340,KODEX 코스닥150선물인버스,2025-05-20,4026.0,5418996.0,4003.5,-0.8580290611028243,5380627.9335
2025-05-26,251340,KODEX 코스닥150선물인버스,2025-05-22,4049.2,4907630.399999999,3974.0,-2.1543712338239556,4809263.268
2025-06-02,251340,KODEX 코스닥150선물인버스,2025-05-27,3980.0,3470560.0,3870.75,-3.0408574120602916,3370231.0590000004
2025-06-04,122630,KODEX 레버리지,2025-05-30,17705,7188230,17960,1.1381107031911963,7280822.36
2025-06-16,122630,KODEX 레버리지,2025-06-05,18745,5323580,20390,8.462510002667383,5782073.86
2025-06-25,233740,KODEX 코스닥150레버리지,2025-06-17,8040.0,5547600.0,8338.5,3.407117537313447,5744934.652499999
2025-06-27,122630,KODEX 레버리지,2025-06-17,21075,5542725,23185,9.696844602609726,6088508.517499999
2025-07-03,122630,KODEX 레버리지,2025-06-30,23205,5917275,23435,0.6896789485024772,5966961.112500001
2025-07-07,122630,KODEX 레버리지,2025-07-04,24025,5934175,22625,-6.118522372528616,5579992.4375
2025-07-09,251340,KODEX 코스닥150선물인버스,2025-07-08,3675.0,2013900.0,3605.75,-2.1815272108843544,1972987.0735000002
2025-07-18,122630,KODEX 레버리지,2025-07-11,24720,1952880,25120,1.3156957928802577,1981503.2800000003
2025-07-22,233740,KODEX 코스닥150레버리지,2025-07-09,8132.5,9482495.0,9307.0,14.120390408853375,10835684.056999998
2025-08-01,233740,KODEX 코스닥150레버리지,2025-07-24,9313.5,8344896.0,8590.0,-8.056640897621735,7685095.040000001
2025-08-12,233740,KODEX 코스닥150레버리지,2025-08-06,8737.0,7906985.0,9025.5,2.997095685017745,8155825.383750001
2025-08-25,251340,KODEX 코스닥150선물인버스,2025-08-21,3536.0,6198608.0,3435.75,-3.130871747737554,6013835.445375
2025-08-25,122630,KODEX 레버리지,2025-08-22,24440,6183320,24935,1.7223301963993447,6299092.1675
2025-08-29,233740,KODEX 코스닥150레버리지,2025-08-28,8908.0,3999692.0,8812.0,-1.3760664571171861,3950653.1180000002
