date,code,name,buy_date,buy_price,first_money,sell_price,revenue_rate,return_money
2025-01-03,122630,KODEX 레버리지,2025-01-02,13800,4995600,13835,-0.046757246376802106,5000757.595000001
2025-01-10,233740,KODEX 코스닥150레버리지,2025-01-03,6801.0,3495714.0,7433.75,8.989823187766515,3815216.0787500003
2025-01-15,233740,KODEX 코스닥150레버리지,2025-01-13,7350.0,5152350.0,7468.75,1.3132227891156463,5227740.359375
2025-02-03,233740,KODEX 코스닥150레버리지,2025-01-31,7831.0,6742491.0,7515.75,-4.3196287191929486,6461354.158875001
2025-02-07,252670,KODEX 200선물인버스2X,2025-02-04,2435,5042885,2330,-4.605646817248456,4818191.855
2025-02-20,233740,KODEX 코스닥150레버리지,2025-02-04,7685.879725085911,5026565.340206185,8795.5,14.115472062169612,5743628.614499997
2025-02-25,122630,KODEX 레버리지,2025-02-20,16915,4803860,16120,-4.992920484776817,4571212.88
2025-02-28,233740,KODEX 코스닥150레버리지,2025-02-21,8799.5,5737274.0,8656.5,-1.9226546962895577,5635571.942999999
2025-03-06,233740,KODEX 코스닥150레버리지,2025-03-05,8355.5,6634267.0,8305.5,-0.8975106217461514,6584675.1495
2025-03-11,251340,KODEX 코스닥150선물인버스,2025-03-05,3712.0,2498176.0,3916.5,5.200895743534484,2631850.7932499996
2025-03-14,251340,KODEX 코스닥150선물인버스,2025-03-13,3843.0,6682977.0,3840.0,-0.37794691647150047,6667743.36
2025-04-01,251340,KODEX 코스닥150선물인버스,2025-03-18,3748.0,3077108.0,4113.25,9.430579642475998,3371912.7826250005
2025-04-03,251340,KODEX 코스닥150선물인버스,2025-04-02,4125.0,3366000.0,4233.25,2.3203060606060633,3449150.5020000003
2025-04-11,251340,KODEX 코스닥150선물인버스,2025-04-08,4273.0,3444038.0,4134.75,-3.530578633278722,3327609.58725
2025-04-21,252670,KODEX 200선물인버스2X,2025-04-01,2250,7166250,2300,1.9188888888888966,7314511.749999998
2025-04-22,122630,KODEX 레버리지,2025-04-15,14450,3323500,14585,0.6328546712802859,3349518.175
2025-04-28,233740,KODEX 코스닥150레버리지,2025-04-22,6909.8,3731292.0,7132.5,2.9181242582998093,3845772.675
2025-04-30,233740,KODEX 코스닥150레버리지,2025-04-29,7143.0,5385822.0,7003.75,-2.246536819263612,5272906.25875
2025-05-07,233740,KODEX 코스닥150레버리지,2025-05-02,6955.0,5264935.0,7017.5,0.597286125089865,5304279.12875
2025-05-16,233740,KODEX 코스닥150레버리지,2025-05-13,7113.0,5292072.0,6993.75,-1.9739930409110005,5195544.975000001
2025-05-20,122630,KODEX 레버리지,2025-04-30,15525,5371650,16480,5.842141706924331,5693526.880000002
2025-05-21,251340,KODEX 코스닥150선물인버스,2025-05-20,4026.0,5447178.0,4003.5,-0.8580290611028243,5408610.39675
2025-05-26,251340,KODEX 코스닥150선물인버스,2025-05-22,4049.2,4931925.6,3974.0,-2.1543712338239556,4833071.502
2025-06-02,251340,KODEX 코스닥150선물인버스,2025-05-27,3980.0,3490460.0,3870.75,-3.0408574120602916,3389555.778375
2025-06-04,122630,KODEX 레버리지,2025-05-30,17705,7223640,17960,1.1381107031911963,7316688.48
2025-06-16,122630,KODEX 레버리지,2025-06-05,18745,5342325,20390,8.462510002667383,5802433.275
2025-06-25,233740,KODEX 코스닥150레버리지,2025-06-17,8040.0,5587800.0,8338.5,3.407117537313447,5786564.61375
2025-06-27,122630,KODEX 레버리지,2025-06-17,21075,5563800,23185,9.696844602609726,6111658.739999999
2025-07-03,122630,KODEX 레버리지,2025-06-30,23205,5940480,23435,0.6896789485024772,5990360.96
2025-07-07,122630,KODEX 레버리지,2025-07-04,24025,5958200,22625,-6.118522372528616,5602583.5
2025-07-09,251340,KODEX 코스닥150선물인버스,2025-07-08,3675.0,2024925.0,3605.75,-2.1815272108843544,1983788.0976250002
2025-07-18,122630,KODEX 레버리지,2025-07-11,24720,1977600,25120,1.3156957928802577,2006585.6000000003
2025-07-22,233740,KODEX 코스닥150레버리지,2025-07-09,8132.5,9531290.0,9307.0,14.120390408853375,10891442.293999998
2025-08-01,233740,KODEX 코스닥150레버리지,2025-07-24,9313.5,8382150.0,8590.0,-8.056640897621735,7719403.500000001
2025-08-12,233740,KODEX 코스닥150레버리지,2025-08-06,8737.0,7941933.0,9025.5,2.997095685017745,8191873.230750001
2025-08-25,251340,KODEX 코스닥150선물인버스,2025-08-21,3536.0,6230432.0,3435.75,-3.130871747737554,6044710.8127500005
2025-08-25,122630,KODEX 레버리지,2025-08-22,24440,6207760,24935,1.7223301963993447,6323989.765000001
2025-08-29,233740,KODEX 코스닥150레버리지,2025-08-28,8908.0,4017508.0,8812.0,-1.3760664571171861,3968250.682
