date,code,name,buy_date,buy_price,first_money,sell_price,revenue_rate,return_money
2025-01-03,122630,KODEX 레버리지,2025-01-02,13800,4995600,13835,-0.046757246376802106,5000757.595000001
2025-01-06,252670,KODEX 200선물인버스2X,2025-01-02,2605,4988575,2475,-5.282917466410752,4732515.5625
2025-01-10,233740,KODEX 코스닥150레버리지,2025-01-03,6801.0,3495714.0,7433.75,8.989823187766515,3815216.0787500003
2025-01-15,233740,KODEX 코스닥150레버리지,2025-01-13,7350.0,5020050.0,7468.75,1.3132227891156463,5093504.515625
2025-02-03,233740,KODEX 코스닥150레버리지,2025-01-31,7831.0,6570209.0,7515.75,-4.3196287191929486,6296255.678625001
2025-02-07,252670,KODEX 200선물인버스2X,2025-02-04,2435,4913830,2330,-4.605646817248456,4694887.09
2025-02-20,233740,KODEX 코스닥150레버리지,2025-02-04,7685.879725085911,4895905.384879725,8795.5,14.115472062169612,5594329.399749998
2025-02-25,122630,KODEX 레버리지,2025-02-20,16915,4685455,16120,-4.992920484776817,4458542.140000001
2025-02-28,233740,KODEX 코스닥150레버리지,2025-02-21,8799.5,5587682.5,8656.5,-1.9226546962895577,5488632.183749999
2025-03-06,233740,KODEX 코스닥150레버리지,2025-03-05,8355.5,6467157.0,8305.5,-0.8975106217461514,6418814.3145
2025-03-11,251340,KODEX 코스닥150선물인버스,2025-03-05,3712.0,2431360.0,3916.5,5.200895743534484,2561459.53875
2025-03-14,251340,KODEX 코스닥150선물인버스,2025-03-13,3843.0,6513885.0,3840.0,-0.37794691647150047,6499036.800000001
2025-04-01,251340,KODEX 코스닥150선물인버스,2025-03-18,3748.0,2998400.0,4113.25,9.430579642475998,3285664.1000000006
2025-04-03,251340,KODEX 코스닥150선물인버스,2025-04-02,4125.0,3279375.0,4233.25,2.3203060606060633,3360385.599375
2025-04-11,251340,KODEX 코스닥150선물인버스,2025-04-08,4273.0,3354305.0,4134.75,-3.530578633278722,3240910.0818749997
2025-04-21,252670,KODEX 200선물인버스2X,2025-04-01,2250,6984000,2300,1.9188888888888966,7128491.199999998
2025-04-22,122630,KODEX 레버리지,2025-04-15,14450,3236800,14585,0.6328546712802859,3262139.44
2025-04-28,233740,KODEX 코스닥150레버리지,2025-04-22,6909.8,3634554.8000000003,7132.5,2.9181242582998093,3746067.4575
2025-04-30,233740,KODEX 코스닥150레버리지,2025-04-29,7143.0,5242962.0,7003.75,-2.246536819263612,5133041.37125
