date,code,name,buy_date,buy_price,first_money,sell_price,revenue_rate,return_money
2025-01-03,122630,KODEX 레버리지,2025-01-02,13800,2249400,13835,-0.046757246376802106,2251722.3425000003
2025-01-10,233740,KODEX 코스닥150레버리지,2025-01-03,6801.0,1924683.0,7433.75,8.989823187766515,2100595.623125
2025-01-15,233740,KODEX 코스닥150레버리지,2025-01-13,7350.0,4321800.0,7468.75,1.3132227891156463,4385037.5625
2025-02-03,233740,KODEX 코스닥150레버리지,2025-01-31,7831.0,6648519.0,7515.75,-4.3196287191929486,6371300.442375001
2025-02-20,233740,KODEX 코스닥150레버리지,2025-02-04,7685.879725085911,4219547.969072165,8795.5,14.115472062169612,4821486.405749999
2025-02-25,122630,KODEX 레버리지,2025-02-20,16915,5700355,16120,-4.992920484776817,5424291.34
2025-02-28,233740,KODEX 코스닥150레버리지,2025-02-21,8799.5,4813326.5,8656.5,-1.9226546962895577,4728002.84175
2025-03-06,233740,KODEX 코스닥150레버리지,2025-03-05,8355.5,6600845.0,8305.5,-0.8975106217461514,6551502.9825
2025-03-11,251340,KODEX 코스닥150선물인버스,2025-03-05,3712.0,2483328.0,3916.5,5.200895743534484,2616208.2922499995
2025-03-14,251340,KODEX 코스닥150선물인버스,2025-03-13,3843.0,5649210.0,3840.0,-0.37794691647150047,5636332.800000001
2025-04-01,251340,KODEX 코스닥150선물인버스,2025-03-18,3748.0,1375516.0,4113.25,9.430579642475998,1507298.405875
2025-04-04,122630,KODEX 레버리지,2025-04-03,14750,4380750,14820,0.17386440677966394,4394937.69
2025-04-16,233740,KODEX 코스닥150레버리지,2025-04-11,6352.405132192846,2890344.335147745,6762.5,6.146058099006847,3072322.0937500005
2025-04-22,122630,KODEX 레버리지,2025-04-11,13820,2833100,14585,5.227152677279315,2985440.1125000003
2025-04-28,233740,KODEX 코스닥150레버리지,2025-04-17,6742.0,2952996.0,7132.5,5.483361762088408,3119348.9475000002
2025-04-30,233740,KODEX 코스닥150레버리지,2025-04-29,7143.0,4600092.0,7003.75,-2.246536819263612,4503649.3775
2025-05-07,233740,KODEX 코스닥150레버리지,2025-05-02,6955.0,4625075.0,7017.5,0.597286125089865,4659637.54375
2025-05-16,233740,KODEX 코스닥150레버리지,2025-05-13,7113.0,4644789.0,6993.75,-1.9739930409110005,4560068.371875
2025-05-20,122630,KODEX 레버리지,2025-04-30,15525,5278500,16480,5.842141706924331,5594795.200000001
2025-06-04,122630,KODEX 레버리지,2025-05-30,17705,5470845,17960,1.1381107031911963,5541315.54
2025-06-16,122630,KODEX 레버리지,2025-06-05,18745,5511030,20390,8.462510002667383,5985668.010000001
2025-06-25,233740,KODEX 코스닥150레버리지,2025-06-17,8040.0,5748600.0,8338.5,3.407117537313447,5953084.458749999
2025-06-27,122630,KODEX 레버리지,2025-06-17,21075,5732400,23185,9.696844602609726,6296860.52
2025-07-03,122630,KODEX 레버리지,2025-06-30,23205,6126120,23435,0.6896789485024772,6177559.74
2025-07-07,122630,KODEX 레버리지,2025-07-04,24025,6126375,22625,-6.118522372528616,5760720.9375
2025-07-09,251340,KODEX 코스닥150선물인버스,2025-07-08,3675.0,937125.0,3605.75,-2.1815272108843544,918087.050625
2025-07-18,122630,KODEX 레버리지,2025-07-11,24720,914640,25120,1.3156957928802577,928045.8400000002
2025-07-22,233740,KODEX 코스닥150레버리지,2025-07-09,8132.5,10962610.0,9307.0,14.120390408853375,12527017.246
